cell_id	clone_id
SA1055-A95621A-R04-C07	I
SA1055-A95621A-R04-C08	I
SA1055-A95621A-R04-C11	F
SA1055-A95621A-R04-C13	B
SA1055-A95621A-R04-C14	A
SA1055-A95621A-R04-C15	C
SA1055-A95621A-R04-C16	I
SA1055-A95621A-R04-C17	None
SA1055-A95621A-R04-C18	I
SA1055-A95621A-R04-C19	C
SA1055-A95621A-R04-C20	B
SA1055-A95621A-R04-C21	I
SA1055-A95621A-R04-C22	I
SA1055-A95621A-R04-C23	I
SA1055-A95621A-R04-C26	None
SA1055-A95621A-R04-C27	I
SA1055-A95621A-R04-C29	A
SA1055-A95621A-R04-C35	I
SA1055-A95621A-R04-C42	I
SA1055-A95621A-R04-C49	None
SA1055-A95621A-R04-C50	D
SA1055-A95621A-R06-C30	I
SA1055-A95621A-R06-C33	H
SA1055-A95621A-R06-C34	I
SA1055-A95621A-R06-C35	E
SA1055-A95621A-R06-C37	D
SA1055-A95621A-R06-C38	D
SA1055-A95621A-R06-C39	I
SA1055-A95621A-R06-C40	C
SA1055-A95621A-R06-C41	I
SA1055-A95621A-R06-C42	None
SA1055-A95621A-R06-C44	E
SA1055-A95621A-R06-C46	I
SA1055-A95621A-R06-C47	I
SA1055-A95621A-R06-C48	D
SA1055-A95621A-R06-C49	A
SA1055-A95621A-R06-C50	E
SA1055-A95621A-R06-C51	D
SA1055-A95621A-R06-C52	I
SA1055-A95621A-R06-C54	I
SA1055-A95621A-R06-C55	I
SA1055-A95621A-R06-C56	None
SA1055-A95621A-R06-C57	D
SA1055-A95621A-R06-C58	F
SA1055-A95621A-R06-C59	H
SA1055-A95621A-R06-C60	I
SA1055-A95621A-R06-C62	None
SA1055-A95621A-R06-C63	I
SA1055-A95621A-R06-C64	F
SA1055-A95621A-R06-C66	D
SA1055-A95621A-R06-C67	None
SA1055-A95621A-R06-C69	I
SA1055-A95621A-R07-C07	I
SA1055-A95621A-R07-C08	B
SA1055-A95621A-R07-C10	I
SA1055-A95621A-R07-C14	A
SA1055-A95621A-R07-C15	I
SA1055-A95621A-R07-C19	D
SA1055-A95621A-R07-C21	C
SA1055-A95621A-R07-C22	G
SA1055-A95621A-R07-C23	E
SA1055-A95621A-R07-C24	D
SA1055-A95621A-R07-C25	None
SA1055-A95621A-R07-C27	E
SA1055-A95621A-R07-C28	I
SA1055-A95621A-R07-C29	D
SA1055-A95621A-R07-C30	I
SA1055-A95621A-R07-C31	F
SA1055-A95621A-R07-C32	I
SA1055-A95621A-R07-C34	I
SA1055-A95621A-R07-C36	I
SA1055-A95621A-R07-C39	I
SA1055-A95621A-R07-C40	I
SA1055-A95621A-R07-C41	F
SA1055-A95621A-R07-C44	F
SA1055-A95621A-R07-C45	I
SA1055-A95621A-R07-C46	A
SA1055-A95621A-R07-C47	D
SA1055-A95621A-R07-C48	I
SA1055-A95621A-R07-C49	A
SA1055-A95621A-R07-C51	E
SA1055-A95621A-R07-C54	I
SA1055-A95621A-R07-C57	I
SA1055-A95621A-R07-C58	C
SA1055-A95621A-R07-C59	I
SA1055-A95621A-R07-C60	D
SA1055-A95621A-R07-C61	None
SA1055-A95621A-R07-C62	I
SA1055-A95621A-R07-C64	E
SA1055-A95621A-R07-C65	I
SA1055-A95621A-R07-C67	None
SA1055-A95621A-R07-C68	I
SA1055-A95621A-R07-C69	I
SA1055-A95621A-R07-C70	D
SA1055-A95621A-R08-C07	C
SA1055-A95621A-R08-C08	B
SA1055-A95621A-R08-C09	E
SA1055-A95621A-R08-C10	A
SA1055-A95621A-R08-C13	I
SA1055-A95621A-R08-C16	F
SA1055-A95621A-R08-C17	I
SA1055-A95621A-R08-C18	B
SA1055-A95621A-R08-C21	I
SA1055-A95621A-R08-C22	H
SA1055-A95621A-R08-C23	I
SA1055-A95621A-R08-C24	I
SA1055-A95621A-R08-C28	I
SA1055-A95621A-R08-C32	None
SA1055-A95621A-R08-C34	I
SA1055-A95621A-R08-C35	I
SA1055-A95621A-R08-C36	None
SA1055-A95621A-R08-C37	I
SA1055-A95621A-R08-C38	H
SA1055-A95621A-R08-C39	D
SA1055-A95621A-R08-C41	B
SA1055-A95621A-R08-C42	I
SA1055-A95621A-R08-C43	D
SA1055-A95621A-R08-C45	I
SA1055-A95621A-R08-C46	None
SA1055-A95621A-R08-C47	G
SA1055-A95621A-R08-C49	I
SA1055-A95621A-R08-C50	F
SA1055-A95621A-R08-C51	D
SA1055-A95621A-R08-C55	I
SA1055-A95621A-R08-C56	I
SA1055-A95621A-R08-C61	I
SA1055-A95621A-R08-C62	A
SA1055-A95621A-R08-C63	D
SA1055-A95621A-R08-C64	None
SA1055-A95621A-R08-C65	D
SA1055-A95621A-R08-C66	None
SA1055-A95621A-R08-C67	A
SA1055-A95621A-R08-C69	None
SA1055-A95621A-R08-C70	None
SA1055-A95621A-R09-C07	I
SA1055-A95621A-R09-C08	None
SA1055-A95621A-R09-C09	None
SA1055-A95621A-R09-C10	H
SA1055-A95621A-R09-C11	E
SA1055-A95621A-R09-C13	I
SA1055-A95621A-R09-C15	C
SA1055-A95621A-R09-C18	D
SA1055-A95621A-R09-C19	I
SA1055-A95621A-R09-C20	I
SA1055-A95621A-R09-C21	I
SA1055-A95621A-R09-C22	D
SA1055-A95621A-R09-C23	A
SA1055-A95621A-R09-C24	I
SA1055-A95621A-R09-C25	H
SA1055-A95621A-R09-C27	I
SA1055-A95621A-R09-C28	B
SA1055-A95621A-R09-C29	I
SA1055-A95621A-R09-C30	F
SA1055-A95621A-R09-C31	D
SA1055-A95621A-R09-C32	F
SA1055-A95621A-R09-C33	E
SA1055-A95621A-R09-C34	I
SA1055-A95621A-R09-C35	I
SA1055-A95621A-R09-C37	I
SA1055-A95621A-R09-C39	I
SA1055-A95621A-R09-C41	I
SA1055-A95621A-R09-C43	I
SA1055-A95621A-R09-C44	None
SA1055-A95621A-R09-C47	E
SA1055-A95621A-R09-C48	I
SA1055-A95621A-R09-C49	None
SA1055-A95621A-R09-C50	I
SA1055-A95621A-R09-C51	H
SA1055-A95621A-R09-C52	I
SA1055-A95621A-R09-C53	I
SA1055-A95621A-R09-C54	I
SA1055-A95621A-R09-C55	H
SA1055-A95621A-R09-C56	None
SA1055-A95621A-R09-C58	I
SA1055-A95621A-R09-C60	G
SA1055-A95621A-R09-C61	A
SA1055-A95621A-R09-C64	I
SA1055-A95621A-R09-C65	F
SA1055-A95621A-R09-C66	I
SA1055-A95621A-R09-C67	I
SA1055-A95621A-R09-C68	C
SA1055-A95621A-R09-C69	I
SA1055-A95621A-R10-C07	D
SA1055-A95621A-R10-C08	C
SA1055-A95621A-R10-C10	G
SA1055-A95621A-R10-C12	C
SA1055-A95621A-R10-C13	E
SA1055-A95621A-R10-C15	D
SA1055-A95621A-R10-C17	D
SA1055-A95621A-R10-C19	I
SA1055-A95621A-R10-C20	I
SA1055-A95621A-R10-C22	I
SA1055-A95621A-R10-C23	I
SA1055-A95621A-R10-C27	I
SA1055-A95621A-R10-C32	F
SA1055-A95621A-R10-C35	A
SA1055-A95621A-R10-C37	G
SA1055-A95621A-R10-C38	I
SA1055-A95621A-R10-C40	I
SA1055-A95621A-R10-C42	C
SA1055-A95621A-R10-C45	None
SA1055-A95621A-R10-C49	E
SA1055-A95621A-R10-C50	D
SA1055-A95621A-R10-C52	A
SA1055-A95621A-R10-C54	I
SA1055-A95621A-R10-C56	H
SA1055-A95621A-R10-C58	F
SA1055-A95621A-R10-C61	B
SA1055-A95621A-R10-C64	F
SA1055-A95621A-R10-C65	None
SA1055-A95621A-R10-C66	H
SA1055-A95621A-R10-C69	E
SA1055-A95621A-R11-C08	None
SA1055-A95621A-R11-C09	I
SA1055-A95621A-R11-C10	I
SA1055-A95621A-R11-C11	C
SA1055-A95621A-R11-C12	I
SA1055-A95621A-R11-C13	G
SA1055-A95621A-R11-C14	None
SA1055-A95621A-R11-C15	G
SA1055-A95621A-R11-C16	D
SA1055-A95621A-R11-C17	H
SA1055-A95621A-R11-C18	B
SA1055-A95621A-R11-C19	A
SA1055-A95621A-R11-C22	I
SA1055-A95621A-R11-C23	E
SA1055-A95621A-R11-C26	D
SA1055-A95621A-R11-C29	A
SA1055-A95621A-R11-C30	D
SA1055-A95621A-R11-C32	D
SA1055-A95621A-R11-C34	B
SA1055-A95621A-R11-C35	D
SA1055-A95621A-R11-C36	C
SA1055-A95621A-R11-C37	D
SA1055-A95621A-R11-C38	I
SA1055-A95621A-R11-C39	I
SA1055-A95621A-R11-C40	I
SA1055-A95621A-R11-C45	F
SA1055-A95621A-R11-C47	C
SA1055-A95621A-R11-C49	I
SA1055-A95621A-R11-C50	I
SA1055-A95621A-R11-C51	B
SA1055-A95621A-R11-C52	E
SA1055-A95621A-R11-C53	H
SA1055-A95621A-R11-C55	I
SA1055-A95621A-R11-C56	None
SA1055-A95621A-R11-C57	None
SA1055-A95621A-R11-C58	D
SA1055-A95621A-R11-C60	None
SA1055-A95621A-R11-C62	H
SA1055-A95621A-R11-C63	I
SA1055-A95621A-R11-C64	I
SA1055-A95621A-R11-C65	C
SA1055-A95621A-R11-C68	None
SA1055-A95621A-R11-C70	E
SA1055-A95621A-R12-C07	I
SA1055-A95621A-R12-C10	A
SA1055-A95621A-R12-C11	A
SA1055-A95621A-R12-C12	I
SA1055-A95621A-R12-C15	B
SA1055-A95621A-R12-C16	E
SA1055-A95621A-R12-C17	I
SA1055-A95621A-R12-C18	D
SA1055-A95621A-R12-C22	I
SA1055-A95621A-R12-C24	I
SA1055-A95621A-R12-C29	G
SA1055-A95621A-R12-C30	G
SA1055-A95621A-R12-C31	None
SA1055-A95621A-R12-C32	None
SA1055-A95621A-R12-C36	I
SA1055-A95621A-R12-C40	I
SA1055-A95621A-R12-C45	None
SA1055-A95621A-R12-C48	F
SA1055-A95621A-R12-C49	I
SA1055-A95621A-R12-C50	D
SA1055-A95621A-R12-C52	G
SA1055-A95621A-R12-C53	D
SA1055-A95621A-R12-C54	I
SA1055-A95621A-R12-C61	None
SA1055-A95621A-R12-C66	None
SA1055-A95621A-R12-C67	E
SA1055-A95621A-R12-C68	B
SA1055-A95621A-R12-C69	D
SA1055-A95621A-R12-C70	H
SA1055-A95621A-R13-C08	I
SA1055-A95621A-R13-C12	H
SA1055-A95621A-R13-C13	I
SA1055-A95621A-R13-C14	A
SA1055-A95621A-R13-C16	A
SA1055-A95621A-R13-C17	A
SA1055-A95621A-R13-C18	I
SA1055-A95621A-R13-C20	E
SA1055-A95621A-R13-C23	I
SA1055-A95621A-R13-C24	I
SA1055-A95621A-R13-C26	None
SA1055-A95621A-R13-C27	I
SA1055-A95621A-R13-C28	I
SA1055-A95621A-R13-C30	G
SA1055-A95621A-R13-C31	I
SA1055-A95621A-R13-C32	I
SA1055-A95621A-R13-C33	E
SA1055-A95621A-R13-C36	I
SA1055-A95621A-R13-C37	I
SA1055-A95621A-R13-C38	B
SA1055-A95621A-R13-C39	I
SA1055-A95621A-R13-C40	A
SA1055-A95621A-R13-C41	I
SA1055-A95621A-R13-C42	I
SA1055-A95621A-R13-C43	I
SA1055-A95621A-R13-C44	E
SA1055-A95621A-R13-C45	G
SA1055-A95621A-R13-C46	I
SA1055-A95621A-R13-C47	I
SA1055-A95621A-R13-C48	B
SA1055-A95621A-R13-C49	I
SA1055-A95621A-R13-C50	D
SA1055-A95621A-R13-C51	I
SA1055-A95621A-R13-C52	I
SA1055-A95621A-R13-C53	I
SA1055-A95621A-R13-C54	I
SA1055-A95621A-R13-C55	E
SA1055-A95621A-R13-C58	I
