cell_id	clone_id
SA604X6XB01972-A96177C-R55-C31	N
SA604X6XB01972-A96177C-R55-C35	N
SA604X6XB01972-A96177C-R55-C36	N
SA604X6XB01972-A96177C-R56-C10	K
SA604X6XB01972-A96177C-R56-C18	N
SA604X6XB01972-A96177C-R56-C43	None
SA604X6XB01972-A96177C-R56-C45	N
SA604X6XB01972-A96177C-R56-C58	K
SA604X6XB01972-A96177C-R56-C67	N
SA604X6XB01972-A96177C-R57-C10	K
SA604X6XB01972-A96177C-R57-C13	N
SA604X6XB01972-A96177C-R57-C22	None
SA604X6XB01972-A96177C-R57-C34	N
SA604X6XB01972-A96177C-R57-C36	N
SA604X6XB01972-A96177C-R57-C42	None
SA604X6XB01972-A96177C-R58-C22	K
SA604X6XB01972-A96177C-R58-C32	None
SA604X6XB01972-A96177C-R58-C47	N
SA604X6XB01972-A96177C-R58-C49	N
SA604X6XB01972-A96177C-R58-C65	K
SA604X6XB01972-A96177C-R59-C11	C
SA604X6XB01972-A96177C-R59-C14	K
SA604X6XB01972-A96177C-R59-C24	N
SA604X6XB01972-A96177C-R59-C33	K
SA604X6XB01972-A96177C-R59-C35	None
SA604X6XB01972-A96177C-R59-C37	C
SA604X6XB01972-A96177C-R59-C39	K
SA604X6XB01972-A96177C-R59-C40	N
SA604X6XB01972-A96177C-R59-C47	N
SA604X6XB01972-A96177C-R59-C52	K
SA604X6XB01972-A96177C-R59-C58	N
SA604X6XB01972-A96177C-R59-C61	None
SA604X6XB01972-A96177C-R59-C63	K
SA604X6XB01972-A96177C-R60-C21	K
SA604X6XB01972-A96177C-R60-C30	K
SA604X6XB01972-A96177C-R60-C34	K
SA604X6XB01972-A96177C-R61-C21	None
SA604X6XB01972-A96177C-R61-C65	N
SA604X6XB01972-A96177C-R62-C65	K
SA604X6XB01972-A96177C-R63-C25	K
SA604X6XB01972-A96177C-R63-C27	N
SA604X6XB01972-A96177C-R64-C07	N
SA604X6XB01972-A96177C-R64-C38	N
SA604X6XB01972-A96177C-R65-C20	K
SA604X6XB01972-A96177C-R65-C58	B
SA604X6XB01975-A96180A-R03-C08	None
SA604X6XB01975-A96180A-R03-C12	D
SA604X6XB01975-A96180A-R03-C14	F
SA604X6XB01975-A96180A-R03-C17	N
SA604X6XB01975-A96180A-R03-C20	E
SA604X6XB01975-A96180A-R03-C23	E
SA604X6XB01975-A96180A-R03-C24	N
SA604X6XB01975-A96180A-R03-C29	N
SA604X6XB01975-A96180A-R03-C32	None
SA604X6XB01975-A96180A-R03-C43	C
SA604X6XB01975-A96180A-R03-C46	L
SA604X6XB01975-A96180A-R03-C49	N
SA604X6XB01975-A96180A-R03-C54	N
SA604X6XB01975-A96180A-R03-C55	E
SA604X6XB01975-A96180A-R03-C56	K
SA604X6XB01975-A96180A-R03-C59	N
SA604X6XB01975-A96180A-R03-C61	N
SA604X6XB01975-A96180A-R03-C63	E
SA604X6XB01975-A96180A-R03-C65	N
