cell_id	clone_id
SA610X3XB03802-A110660A-R03-C11	B
SA610X3XB03802-A110660A-R03-C15	A
SA610X3XB03802-A110660A-R03-C19	B
SA610X3XB03802-A110660A-R03-C20	A
SA610X3XB03802-A110660A-R03-C23	A
SA610X3XB03802-A110660A-R03-C24	A
SA610X3XB03802-A110660A-R03-C26	A
SA610X3XB03802-A110660A-R03-C30	A
SA610X3XB03802-A110660A-R03-C32	A
SA610X3XB03802-A110660A-R03-C33	A
SA610X3XB03802-A110660A-R03-C45	A
SA610X3XB03802-A110660A-R03-C47	B
SA610X3XB03802-A110660A-R03-C48	B
SA610X3XB03802-A110660A-R03-C49	A
SA610X3XB03802-A110660A-R03-C50	A
SA610X3XB03802-A110660A-R03-C51	B
SA610X3XB03802-A110660A-R03-C53	B
SA610X3XB03802-A110660A-R03-C57	B
SA610X3XB03802-A110660A-R03-C58	A
SA610X3XB03802-A110660A-R03-C59	B
SA610X3XB03802-A110660A-R03-C66	B
SA610X3XB03802-A110660A-R04-C07	A
SA610X3XB03802-A110660A-R04-C10	A
SA610X3XB03802-A110660A-R04-C11	B
SA610X3XB03802-A110660A-R04-C17	A
SA610X3XB03802-A110660A-R04-C18	A
SA610X3XB03802-A110660A-R04-C29	B
SA610X3XB03802-A110660A-R04-C33	A
SA610X3XB03802-A110660A-R04-C34	A
SA610X3XB03802-A110660A-R04-C36	A
SA610X3XB03802-A110660A-R04-C45	A
SA610X3XB03802-A110660A-R04-C46	A
SA610X3XB03802-A110660A-R04-C50	B
SA610X3XB03802-A110660A-R04-C56	A
SA610X3XB03802-A110660A-R04-C57	B
SA610X3XB03802-A110660A-R04-C61	A
SA610X3XB03802-A110660A-R04-C66	A
SA610X3XB03802-A110660A-R05-C11	A
SA610X3XB03802-A110660A-R05-C28	A
SA610X3XB03802-A110660A-R05-C39	B
SA610X3XB03802-A110660A-R05-C40	A
SA610X3XB03802-A110660A-R05-C41	B
SA610X3XB03802-A110660A-R05-C45	B
SA610X3XB03802-A110660A-R05-C46	A
SA610X3XB03802-A110660A-R05-C48	B
SA610X3XB03802-A110660A-R05-C49	A
SA610X3XB03802-A110660A-R05-C50	A
SA610X3XB03802-A110660A-R05-C56	B
SA610X3XB03802-A110660A-R05-C59	A
SA610X3XB03802-A110660A-R05-C61	A
SA610X3XB03802-A110660A-R05-C64	A
SA610X3XB03802-A110660A-R06-C09	A
SA610X3XB03802-A110660A-R06-C13	B
SA610X3XB03802-A110660A-R06-C17	B
SA610X3XB03802-A110660A-R06-C18	A
SA610X3XB03802-A110660A-R06-C23	A
SA610X3XB03802-A110660A-R06-C29	A
SA610X3XB03802-A110660A-R06-C37	B
SA610X3XB03802-A110660A-R06-C38	B
SA610X3XB03802-A110660A-R06-C40	A
SA610X3XB03802-A110660A-R06-C41	A
SA610X3XB03802-A110660A-R06-C48	B
SA610X3XB03802-A110660A-R06-C56	A
SA610X3XB03802-A110660A-R06-C69	A
SA610X3XB03802-A110660A-R06-C70	A
SA610X3XB03802-A110660A-R07-C10	A
SA610X3XB03802-A110660A-R07-C12	A
SA610X3XB03802-A110660A-R07-C16	B
SA610X3XB03802-A110660A-R07-C19	B
SA610X3XB03802-A110660A-R07-C20	B
SA610X3XB03802-A110660A-R07-C29	A
SA610X3XB03802-A110660A-R07-C32	B
SA610X3XB03802-A110660A-R07-C33	A
SA610X3XB03802-A110660A-R07-C34	A
SA610X3XB03802-A110660A-R07-C36	A
SA610X3XB03802-A110660A-R07-C44	A
SA610X3XB03802-A110660A-R07-C47	A
SA610X3XB03802-A110660A-R07-C51	B
SA610X3XB03802-A110660A-R07-C53	A
SA610X3XB03802-A110660A-R07-C61	A
SA610X3XB03802-A110660A-R07-C62	A
SA610X3XB03802-A110660A-R07-C66	A
SA610X3XB03802-A110660A-R08-C23	A
SA610X3XB03802-A110660A-R08-C29	B
SA610X3XB03802-A110660A-R08-C30	A
SA610X3XB03802-A110660A-R08-C31	A
SA610X3XB03802-A110660A-R08-C33	B
SA610X3XB03802-A110660A-R08-C34	A
SA610X3XB03802-A110660A-R08-C35	A
SA610X3XB03802-A110660A-R09-C11	A
SA610X3XB03802-A110660A-R10-C09	B
SA610X3XB03802-A110660A-R10-C14	A
