cell_id	clone_id
SA1188-A118357B-R45-C11	B
SA1188-A118357B-R45-C17	B
SA1188-A118357B-R45-C19	F
SA1188-A118357B-R45-C20	E
SA1188-A118357B-R45-C21	G
SA1188-A118357B-R45-C25	C
SA1188-A118357B-R45-C26	B
SA1188-A118357B-R45-C30	H
SA1188-A118357B-R45-C32	F
SA1188-A118357B-R45-C33	G
SA1188-A118357B-R45-C35	B
SA1188-A118357B-R45-C38	G
SA1188-A118357B-R45-C44	F
SA1188-A118357B-R45-C47	G
SA1188-A118357B-R45-C48	G
SA1188-A118357B-R45-C49	C
SA1188-A118357B-R45-C56	F
SA1188-A118357B-R45-C57	G
SA1188-A118357B-R45-C58	G
SA1188-A118357B-R45-C59	H
SA1188-A118357B-R45-C60	H
SA1188-A118357B-R45-C63	G
SA1188-A118357B-R45-C67	B
SA1188-A118357B-R45-C68	B
SA1188-A118357B-R45-C70	F
SA1188-A118357B-R46-C08	A
SA1188-A118357B-R46-C10	F
SA1188-A118357B-R46-C12	C
SA1188-A118357B-R46-C13	F
SA1188-A118357B-R46-C16	G
SA1188-A118357B-R46-C18	B
SA1188-A118357B-R46-C19	F
SA1188-A118357B-R46-C21	E
SA1188-A118357B-R46-C23	C
SA1188-A118357B-R46-C38	F
SA1188-A118357B-R46-C39	F
SA1188-A118357B-R46-C40	E
SA1188-A118357B-R46-C41	B
SA1188-A118357B-R46-C43	B
SA1188-A118357B-R46-C45	G
SA1188-A118357B-R46-C46	F
SA1188-A118357B-R46-C47	G
SA1188-A118357B-R46-C49	E
SA1188-A118357B-R46-C51	G
SA1188-A118357B-R46-C54	G
SA1188-A118357B-R46-C56	G
SA1188-A118357B-R46-C58	B
SA1188-A118357B-R46-C59	G
SA1188-A118357B-R46-C64	H
SA1188-A118357B-R46-C69	G
SA1188-A118357B-R46-C70	B
SA1188-A118357B-R47-C07	G
SA1188-A118357B-R47-C13	B
SA1188-A118357B-R47-C17	F
SA1188-A118357B-R47-C20	D
SA1188-A118357B-R47-C21	B
SA1188-A118357B-R47-C23	C
SA1188-A118357B-R47-C24	H
SA1188-A118357B-R47-C40	G
SA1188-A118357B-R47-C43	B
SA1188-A118357B-R47-C44	None
SA1188-A118357B-R47-C54	E
SA1188-A118357B-R47-C55	G
SA1188-A118357B-R47-C58	None
SA1188-A118357B-R47-C67	G
SA1188-A118357B-R47-C69	None
SA1188-A118357B-R47-C70	B
SA1188-A118357B-R48-C07	F
SA1188-A118357B-R48-C11	C
SA1188-A118357B-R48-C13	G
SA1188-A118357B-R48-C14	D
SA1188-A118357B-R48-C15	F
SA1188-A118357B-R48-C18	G
SA1188-A118357B-R48-C23	G
SA1188-A118357B-R48-C24	E
SA1188-A118357B-R48-C25	None
SA1188-A118357B-R48-C29	G
SA1188-A118357B-R48-C30	B
SA1188-A118357B-R48-C32	E
SA1188-A118357B-R48-C33	F
SA1188-A118357B-R48-C37	G
SA1188-A118357B-R48-C44	G
SA1188-A118357B-R48-C45	C
SA1188-A118357B-R48-C51	B
SA1188-A118357B-R48-C52	G
SA1188-A118357B-R48-C54	None
SA1188-A118357B-R48-C60	B
SA1188-A118357B-R48-C66	D
SA1188-A118357B-R48-C69	G
SA1188-A118357B-R49-C07	F
SA1188-A118357B-R49-C08	B
SA1188-A118357B-R49-C09	A
SA1188-A118357B-R49-C11	G
SA1188-A118357B-R49-C12	B
SA1188-A118357B-R49-C14	B
SA1188-A118357B-R49-C15	G
SA1188-A118357B-R49-C16	G
