cell_id	clone_id
SA906-A96149B-R29-C28	E
SA906-A96149B-R29-C29	D
SA906-A96149B-R29-C34	E
SA906-A96149B-R29-C35	None
SA906-A96149B-R29-C38	G
SA906-A96149B-R29-C40	G
SA906-A96149B-R29-C43	E
SA906-A96149B-R29-C45	I
SA906-A96149B-R29-C49	G
SA906-A96149B-R29-C52	E
SA906-A96149B-R29-C54	E
SA906-A96149B-R29-C60	None
SA906-A96149B-R29-C61	G
SA906-A96149B-R29-C63	None
SA906-A96149B-R29-C65	G
SA906-A96149B-R29-C66	G
SA906-A96149B-R29-C67	E
SA906-A96149B-R29-C70	E
SA906-A96149B-R30-C21	F
SA906-A96149B-R30-C22	E
SA906-A96149B-R30-C23	G
SA906-A96149B-R30-C26	E
SA906-A96149B-R30-C31	G
SA906-A96149B-R30-C32	E
SA906-A96149B-R30-C34	G
SA906-A96149B-R30-C36	K
SA906-A96149B-R30-C39	E
SA906-A96149B-R30-C40	G
SA906-A96149B-R30-C41	E
SA906-A96149B-R30-C42	E
SA906-A96149B-R30-C43	E
SA906-A96149B-R30-C44	E
SA906-A96149B-R30-C48	G
SA906-A96149B-R30-C54	D
SA906-A96149B-R30-C55	E
SA906-A96149B-R30-C60	E
SA906-A96149B-R30-C62	G
SA906-A96149B-R30-C63	E
SA906-A96149B-R30-C65	A
SA906-A96149B-R30-C67	G
SA906-A96149B-R30-C68	E
SA906-A96149B-R31-C24	None
SA906-A96149B-R31-C29	G
SA906-A96149B-R31-C31	E
SA906-A96149B-R31-C32	K
SA906-A96149B-R31-C34	E
SA906-A96149B-R31-C35	E
SA906-A96149B-R31-C37	D
SA906-A96149B-R31-C39	G
SA906-A96149B-R31-C40	None
SA906-A96149B-R31-C41	E
SA906-A96149B-R31-C42	F
SA906-A96149B-R31-C44	E
SA906-A96149B-R31-C47	E
SA906-A96149B-R31-C59	E
SA906-A96149B-R31-C60	E
SA906-A96149B-R31-C61	E
SA906-A96149B-R31-C67	D
SA906-A96149B-R32-C27	G
SA906-A96149B-R32-C28	D
SA906-A96149B-R32-C29	E
SA906-A96149B-R32-C33	E
SA906-A96149B-R32-C34	G
SA906-A96149B-R32-C35	G
SA906-A96149B-R32-C50	G
SA906-A96149B-R32-C51	E
SA906-A96149B-R32-C52	D
SA906-A96149B-R32-C54	C
SA906-A96149B-R32-C58	G
SA906-A96149B-R32-C62	G
SA906-A96149B-R32-C64	G
SA906-A96149B-R32-C65	E
SA906-A96149B-R32-C66	E
SA906-A96149B-R32-C68	E
SA906-A96149B-R32-C70	None
SA906-A96149B-R33-C29	E
SA906-A96149B-R33-C30	E
SA906-A96149B-R33-C31	E
SA906-A96149B-R33-C33	G
SA906-A96149B-R33-C36	G
SA906-A96149B-R33-C37	E
SA906-A96149B-R33-C39	C
SA906-A96149B-R33-C40	I
SA906-A96149B-R33-C44	E
SA906-A96149B-R33-C45	E
SA906-A96149B-R33-C46	E
SA906-A96149B-R33-C47	E
SA906-A96149B-R33-C49	E
SA906-A96149B-R33-C50	D
SA906-A96149B-R33-C51	E
SA906-A96149B-R33-C53	E
SA906-A96149B-R33-C55	E
SA906-A96149B-R33-C57	E
SA906-A96149B-R33-C58	E
SA906-A96149B-R33-C59	E
SA906-A96149B-R33-C66	G
SA906-A96149B-R34-C27	E
SA906-A96149B-R34-C29	E
SA906-A96149B-R34-C32	E
SA906-A96149B-R34-C33	E
SA906-A96149B-R34-C35	G
SA906-A96149B-R34-C36	E
SA906-A96149B-R34-C39	G
SA906-A96149B-R34-C41	G
SA906-A96149B-R34-C42	E
SA906-A96149B-R34-C45	G
SA906-A96149B-R34-C46	G
SA906-A96149B-R34-C48	E
SA906-A96149B-R34-C50	G
SA906-A96149B-R34-C51	C
SA906-A96149B-R34-C52	E
SA906-A96149B-R34-C55	E
SA906-A96149B-R34-C56	E
SA906-A96149B-R34-C58	None
SA906-A96149B-R34-C59	E
SA906-A96149B-R34-C64	D
SA906-A96149B-R34-C65	G
SA906-A96149B-R34-C67	E
SA906-A96149B-R34-C70	None
SA906-A96149B-R35-C30	G
SA906-A96149B-R35-C32	J
SA906-A96149B-R35-C35	E
SA906-A96149B-R35-C40	G
SA906-A96149B-R35-C45	G
SA906-A96149B-R35-C49	E
SA906-A96149B-R35-C50	E
SA906-A96149B-R35-C52	E
SA906-A96149B-R35-C54	E
SA906-A96149B-R35-C56	E
SA906-A96149B-R35-C57	E
SA906-A96149B-R35-C58	E
SA906-A96149B-R35-C59	C
SA906-A96149B-R35-C60	E
SA906-A96149B-R35-C62	E
SA906-A96149B-R35-C63	G
SA906-A96149B-R35-C64	G
SA906-A96149B-R35-C66	E
SA906-A96149B-R35-C67	E
SA906-A96149B-R35-C68	F
SA906-A96149B-R35-C70	G
SA906-A96149B-R36-C33	E
SA906-A96149B-R36-C35	A
SA906-A96149B-R36-C37	E
SA906-A96149B-R36-C38	E
SA906-A96149B-R36-C40	E
SA906-A96149B-R36-C42	F
SA906-A96149B-R36-C43	J
SA906-A96149B-R36-C44	G
SA906-A96149B-R36-C45	G
SA906-A96149B-R36-C46	E
SA906-A96149B-R36-C48	B
SA906-A96149B-R36-C51	E
SA906-A96149B-R36-C52	E
SA906-A96149B-R36-C53	E
SA906-A96149B-R36-C56	G
SA906-A96149B-R36-C58	D
SA906-A96149B-R36-C59	E
SA906-A96149B-R36-C60	None
SA906-A96149B-R36-C61	E
SA906-A96149B-R36-C62	G
SA906-A96149B-R36-C64	G
SA906-A96149B-R36-C65	E
SA906-A96149B-R36-C66	E
SA906-A96149B-R36-C67	E
SA906-A96149B-R36-C68	D
SA906-A96149B-R37-C28	E
SA906-A96149B-R37-C30	E
SA906-A96149B-R37-C31	D
SA906-A96149B-R37-C32	G
SA906-A96149B-R37-C34	E
SA906-A96149B-R37-C36	E
SA906-A96149B-R37-C45	D
SA906-A96149B-R37-C46	E
SA906-A96149B-R37-C47	G
SA906-A96149B-R37-C49	E
SA906-A96149B-R37-C50	D
SA906-A96149B-R37-C51	E
SA906-A96149B-R37-C53	C
SA906-A96149B-R37-C54	E
SA906-A96149B-R37-C55	D
SA906-A96149B-R37-C58	J
SA906-A96149B-R37-C59	E
SA906-A96149B-R37-C60	G
SA906-A96149B-R37-C61	None
SA906-A96149B-R37-C62	G
SA906-A96149B-R37-C64	G
SA906-A96149B-R37-C65	G
SA906-A96149B-R37-C66	E
SA906-A96149B-R37-C67	E
SA906-A96149B-R37-C68	G
SA906-A96149B-R38-C27	E
SA906-A96149B-R38-C37	E
SA906-A96149B-R38-C42	D
SA906-A96149B-R38-C43	G
SA906-A96149B-R38-C44	E
SA906-A96149B-R38-C45	None
SA906-A96149B-R38-C47	E
SA906-A96149B-R38-C49	E
SA906-A96149B-R38-C50	None
SA906-A96149B-R38-C51	E
SA906-A96149B-R38-C54	E
SA906-A96149B-R38-C55	E
SA906-A96149B-R38-C56	E
SA906-A96149B-R38-C57	C
SA906-A96149B-R38-C59	E
SA906-A96149B-R38-C62	E
SA906-A96149B-R38-C63	G
SA906-A96149B-R38-C70	E
SA906-A96149B-R39-C27	E
SA906-A96149B-R39-C30	E
SA906-A96149B-R39-C33	G
SA906-A96149B-R39-C34	E
SA906-A96149B-R39-C37	E
SA906-A96149B-R39-C39	G
SA906-A96149B-R39-C43	E
SA906-A96149B-R39-C46	G
SA906-A96149B-R39-C48	E
SA906-A96149B-R39-C49	G
SA906-A96149B-R39-C53	G
SA906-A96149B-R39-C55	E
SA906-A96149B-R39-C58	C
SA906-A96149B-R39-C60	G
SA906-A96149B-R39-C61	E
SA906-A96149B-R39-C63	None
SA906-A96149B-R39-C64	G
SA906-A96149B-R39-C65	E
SA906-A96149B-R39-C66	E
SA906-A96149B-R39-C68	G
SA906-A96149B-R40-C31	E
SA906-A96149B-R40-C35	C
SA906-A96149B-R40-C37	E
SA906-A96149B-R40-C40	G
SA906-A96149B-R40-C41	E
SA906-A96149B-R40-C42	H
SA906-A96149B-R40-C45	E
SA906-A96149B-R40-C46	G
SA906-A96149B-R40-C50	G
SA906-A96149B-R40-C51	E
SA906-A96149B-R40-C54	E
SA906-A96149B-R40-C56	G
SA906-A96149B-R40-C57	E
SA906-A96149B-R40-C58	G
SA906-A96149B-R40-C59	G
SA906-A96149B-R40-C60	G
SA906-A96149B-R40-C61	E
SA906-A96149B-R40-C62	G
SA906-A96149B-R40-C65	G
SA906-A96149B-R40-C66	G
SA906-A96149B-R40-C69	A
SA906-A96149B-R40-C70	G
SA906-A96149B-R41-C20	G
SA906-A96149B-R41-C31	E
SA906-A96149B-R41-C34	E
SA906-A96149B-R41-C35	C
SA906-A96149B-R41-C44	E
SA906-A96149B-R41-C45	D
SA906-A96149B-R41-C46	G
SA906-A96149B-R41-C49	E
SA906-A96149B-R41-C51	I
SA906-A96149B-R41-C56	C
SA906-A96149B-R41-C58	E
SA906-A96149B-R41-C60	E
SA906-A96149B-R41-C61	E
SA906-A96149B-R41-C62	G
SA906-A96149B-R41-C68	E
SA906-A96149B-R41-C69	G
SA906-A96149B-R42-C26	E
SA906-A96149B-R42-C31	H
SA906-A96149B-R42-C35	E
SA906-A96149B-R42-C39	G
SA906-A96149B-R42-C43	E
SA906-A96149B-R42-C44	E
SA906-A96149B-R42-C48	G
SA906-A96149B-R42-C51	C
SA906-A96149B-R42-C57	E
SA906-A96149B-R42-C58	None
SA906-A96149B-R42-C62	G
SA906-A96149B-R42-C65	E
SA906-A96149B-R42-C68	K
SA906-A96149B-R42-C70	E
SA906-A96149B-R43-C28	E
SA906-A96149B-R43-C37	E
SA906-A96149B-R43-C42	E
SA906-A96149B-R43-C43	E
SA906-A96149B-R43-C49	G
SA906-A96149B-R43-C50	G
SA906-A96149B-R43-C57	G
SA906-A96149B-R43-C61	D
SA906-A96149B-R43-C67	E
SA906-A96149B-R43-C68	J
SA906-A96149B-R43-C69	E
SA906-A96149B-R44-C31	G
SA906-A96149B-R44-C35	E
SA906-A96149B-R44-C36	E
SA906-A96149B-R44-C42	E
SA906-A96149B-R44-C43	None
SA906-A96149B-R44-C46	E
SA906-A96149B-R44-C51	E
SA906-A96149B-R44-C59	E
SA906-A96149B-R44-C69	None
SA906-A96149B-R45-C27	E
SA906-A96149B-R45-C41	G
SA906-A96149B-R45-C42	E
SA906-A96149B-R45-C43	H
SA906-A96149B-R45-C44	E
SA906-A96149B-R45-C45	E
SA906-A96149B-R45-C47	F
SA906-A96149B-R45-C50	E
SA906-A96149B-R45-C51	E
SA906-A96149B-R45-C52	E
SA906-A96149B-R45-C53	G
SA906-A96149B-R45-C55	C
SA906-A96149B-R45-C61	G
SA906-A96149B-R45-C62	G
SA906-A96149B-R45-C65	E
SA906-A96149B-R45-C67	None
SA906-A96149B-R46-C29	E
SA906-A96149B-R46-C36	J
SA906-A96149B-R46-C45	E
SA906-A96149B-R46-C55	E
SA906-A96149B-R46-C66	G
SA906-A96149B-R46-C68	E
SA906-A96149B-R46-C70	D
SA906-A96149B-R47-C33	G
SA906-A96149B-R47-C38	G
SA906-A96149B-R47-C45	E
SA906-A96149B-R47-C46	E
SA906-A96149B-R47-C49	E
SA906-A96149B-R47-C50	G
SA906-A96149B-R47-C52	E
SA906-A96149B-R47-C53	E
SA906-A96149B-R47-C54	G
SA906-A96149B-R47-C55	E
SA906-A96149B-R47-C56	E
SA906-A96149B-R47-C59	None
SA906-A96149B-R47-C64	G
SA906-A96149B-R47-C67	A
SA906-A96149B-R48-C29	E
SA906-A96149B-R48-C36	E
SA906-A96149B-R48-C39	None
SA906-A96149B-R48-C44	E
SA906-A96149B-R48-C47	G
SA906-A96149B-R48-C48	G
SA906-A96149B-R48-C50	G
SA906-A96149B-R48-C51	E
SA906-A96149B-R48-C52	G
SA906-A96149B-R48-C54	G
SA906-A96149B-R48-C57	None
SA906-A96149B-R48-C58	None
SA906-A96149B-R48-C59	E
SA906-A96149B-R48-C63	E
SA906-A96149B-R48-C64	G
SA906-A96149B-R48-C66	None
SA906-A96149B-R48-C67	G
SA906-A96149B-R48-C70	J
SA906-A96149B-R49-C33	G
SA906-A96149B-R49-C36	E
SA906-A96149B-R49-C37	C
SA906-A96149B-R49-C41	E
SA906-A96149B-R49-C42	E
SA906-A96149B-R49-C43	G
SA906-A96149B-R49-C47	E
SA906-A96149B-R49-C56	E
SA906-A96149B-R49-C57	E
SA906-A96149B-R49-C58	E
SA906-A96149B-R49-C59	G
SA906-A96149B-R49-C64	None
SA906-A96149B-R49-C66	E
SA906-A96149B-R49-C67	E
SA906-A96149B-R49-C68	E
SA906-A96149B-R49-C69	G
SA906-A96149B-R50-C08	E
SA906-A96149B-R50-C11	E
SA906-A96149B-R50-C14	G
SA906-A96149B-R50-C34	E
SA906-A96149B-R50-C37	E
SA906-A96149B-R50-C42	None
SA906-A96149B-R50-C44	E
SA906-A96149B-R50-C47	G
SA906-A96149B-R50-C50	None
SA906-A96149B-R50-C51	D
SA906-A96149B-R50-C54	None
SA906-A96149B-R50-C55	E
SA906-A96149B-R50-C58	G
SA906-A96149B-R50-C59	E
SA906-A96149B-R50-C60	E
SA906-A96149B-R50-C61	None
SA906-A96149B-R50-C64	E
SA906-A96149B-R51-C32	G
SA906-A96149B-R51-C33	G
SA906-A96149B-R51-C34	C
SA906-A96149B-R51-C35	G
SA906-A96149B-R51-C42	E
SA906-A96149B-R51-C43	E
SA906-A96149B-R51-C44	C
SA906-A96149B-R51-C46	G
SA906-A96149B-R51-C51	E
SA906-A96149B-R51-C54	E
SA906-A96149B-R51-C55	D
SA906-A96149B-R51-C56	None
SA906-A96149B-R51-C58	G
SA906-A96149B-R51-C64	D
SA906-A96149B-R51-C65	D
