cell_id	clone_id
SA1093CX1XB01917-A96192A-R03-C09	C
SA1093CX1XB01917-A96192A-R03-C10	None
SA1093CX1XB01917-A96192A-R03-C14	A
SA1093CX1XB01917-A96192A-R03-C21	A
SA1093CX1XB01917-A96192A-R03-C26	D
SA1093CX1XB01917-A96192A-R03-C27	B
SA1093CX1XB01917-A96192A-R03-C32	A
SA1093CX1XB01917-A96192A-R03-C41	C
SA1093CX1XB01917-A96192A-R03-C44	D
SA1093CX1XB01917-A96192A-R03-C51	D
SA1093CX1XB01917-A96192A-R03-C52	D
SA1093CX1XB01917-A96192A-R03-C56	A
SA1093CX1XB01917-A96192A-R03-C59	D
SA1093CX1XB01917-A96192A-R03-C60	B
SA1093CX1XB01917-A96192A-R03-C62	B
SA1093CX1XB01917-A96192A-R03-C66	D
SA1093CX1XB01917-A96192A-R04-C07	D
SA1093CX1XB01917-A96192A-R04-C08	B
SA1093CX1XB01917-A96192A-R04-C09	A
SA1093CX1XB01917-A96192A-R04-C15	A
SA1093CX1XB01917-A96192A-R04-C17	B
SA1093CX1XB01917-A96192A-R04-C26	D
SA1093CX1XB01917-A96192A-R04-C37	A
SA1093CX1XB01917-A96192A-R04-C49	D
SA1093CX1XB01917-A96192A-R04-C54	None
SA1093CX1XB01917-A96192A-R04-C55	A
SA1093CX1XB01917-A96192A-R04-C56	A
SA1093CX1XB01917-A96192A-R04-C60	D
SA1093CX1XB01917-A96192A-R04-C62	A
SA1093CX1XB01917-A96192A-R04-C63	A
SA1093CX1XB01917-A96192A-R04-C67	C
SA1093CX1XB01917-A96192A-R05-C07	A
SA1093CX1XB01917-A96192A-R05-C10	D
SA1093CX1XB01917-A96192A-R05-C12	D
SA1093CX1XB01917-A96192A-R05-C21	A
SA1093CX1XB01917-A96192A-R05-C24	D
SA1093CX1XB01917-A96192A-R05-C29	B
SA1093CX1XB01917-A96192A-R05-C32	D
SA1093CX1XB01917-A96192A-R05-C38	A
SA1093CX1XB01917-A96192A-R05-C46	B
SA1093CX1XB01917-A96192A-R05-C52	D
SA1093CX1XB01917-A96192A-R05-C54	D
SA1093CX1XB01917-A96192A-R05-C56	A
SA1093CX1XB01917-A96192A-R05-C57	D
SA1093CX1XB01917-A96192A-R05-C61	D
SA1093CX1XB01917-A96192A-R05-C68	D
SA1093CX1XB01917-A96192A-R05-C69	A
SA1093CX1XB01917-A96192A-R06-C11	A
SA1093CX1XB01917-A96192A-R06-C13	A
SA1093CX1XB01917-A96192A-R06-C14	A
SA1093CX1XB01917-A96192A-R06-C16	None
SA1093CX1XB01917-A96192A-R06-C19	A
SA1093CX1XB01917-A96192A-R06-C21	None
SA1093CX1XB01917-A96192A-R06-C25	None
SA1093CX1XB01917-A96192A-R06-C28	None
SA1093CX1XB01917-A96192A-R06-C33	C
SA1093CX1XB01917-A96192A-R06-C35	B
SA1093CX1XB01917-A96192A-R06-C36	C
SA1093CX1XB01917-A96192A-R06-C41	D
SA1093CX1XB01917-A96192A-R06-C43	A
SA1093CX1XB01917-A96192A-R06-C49	B
SA1093CX1XB01917-A96192A-R06-C50	C
SA1093CX1XB01917-A96192A-R06-C51	A
SA1093CX1XB01917-A96192A-R06-C54	D
SA1093CX1XB01917-A96192A-R06-C56	A
SA1093CX1XB01917-A96192A-R06-C64	C
SA1093CX1XB01917-A96192A-R06-C65	A
SA1093CX1XB01917-A96192A-R07-C07	D
SA1093CX1XB01917-A96192A-R07-C09	A
SA1093CX1XB01917-A96192A-R07-C13	D
SA1093CX1XB01917-A96192A-R07-C14	C
SA1093CX1XB01917-A96192A-R07-C17	D
SA1093CX1XB01917-A96192A-R07-C21	D
SA1093CX1XB01917-A96192A-R07-C30	A
SA1093CX1XB01917-A96192A-R07-C31	C
SA1093CX1XB01917-A96192A-R07-C37	D
SA1093CX1XB01917-A96192A-R07-C38	None
SA1093CX1XB01917-A96192A-R07-C40	A
SA1093CX1XB01917-A96192A-R07-C46	C
SA1093CX1XB01917-A96192A-R07-C50	D
SA1093CX1XB01917-A96192A-R07-C53	A
SA1093CX1XB01917-A96192A-R07-C54	C
SA1093CX1XB01917-A96192A-R07-C55	D
SA1093CX1XB01917-A96192A-R07-C57	B
SA1093CX1XB01917-A96192A-R07-C58	C
SA1093CX1XB01917-A96192A-R07-C63	B
SA1093CX1XB01917-A96192A-R07-C64	C
SA1093CX1XB01917-A96192A-R07-C67	C
SA1093CX1XB01917-A96192A-R07-C69	A
SA1093CX1XB01917-A96192A-R08-C14	D
SA1093CX1XB01917-A96192A-R08-C22	B
SA1093CX1XB01917-A96192A-R08-C23	C
SA1093CX1XB01917-A96192A-R08-C27	B
SA1093CX1XB01917-A96192A-R08-C28	C
SA1093CX1XB01917-A96192A-R08-C40	C
SA1093CX1XB01917-A96192A-R08-C47	D
SA1093CX1XB01917-A96192A-R08-C54	B
SA1093CX1XB01917-A96192A-R08-C57	D
SA1093CX1XB01917-A96192A-R08-C61	D
SA1093CX1XB01917-A96192A-R08-C66	A
SA1093CX1XB01917-A96192A-R09-C11	B
SA1093CX1XB01917-A96192A-R09-C15	A
SA1093CX1XB01917-A96192A-R09-C20	B
SA1093CX1XB01917-A96192A-R09-C21	A
SA1093CX1XB01917-A96192A-R09-C23	A
SA1093CX1XB01917-A96192A-R09-C25	B
SA1093CX1XB01917-A96192A-R09-C33	D
SA1093CX1XB01917-A96192A-R09-C41	B
SA1093CX1XB01917-A96192A-R09-C44	D
SA1093CX1XB01917-A96192A-R09-C52	B
SA1093CX1XB01917-A96192A-R09-C54	D
SA1093CX1XB01917-A96192A-R09-C55	C
SA1093CX1XB01917-A96192A-R09-C59	A
SA1093CX1XB01917-A96192A-R09-C60	None
SA1093CX1XB01917-A96192A-R09-C63	C
SA1093CX1XB01917-A96192A-R10-C17	C
SA1093CX1XB01917-A96192A-R10-C18	D
SA1093CX1XB01917-A96192A-R10-C19	D
SA1093CX1XB01917-A96192A-R10-C20	A
SA1093CX1XB01917-A96192A-R10-C35	B
SA1093CX1XB01917-A96192A-R10-C36	C
SA1093CX1XB01917-A96192A-R10-C38	A
SA1093CX1XB01917-A96192A-R10-C41	A
SA1093CX1XB01917-A96192A-R10-C43	A
SA1093CX1XB01917-A96192A-R10-C47	D
SA1093CX1XB01917-A96192A-R10-C56	A
SA1093CX1XB01917-A96192A-R10-C58	D
SA1093CX1XB01917-A96192A-R10-C59	D
SA1093CX1XB01917-A96192A-R10-C60	C
SA1093CX1XB01917-A96192A-R10-C70	A
SA1093CX1XB01917-A96192A-R11-C08	D
SA1093CX1XB01917-A96192A-R11-C10	D
SA1093CX1XB01917-A96192A-R11-C11	C
SA1093CX1XB01917-A96192A-R11-C16	None
SA1093CX1XB01917-A96192A-R11-C20	D
SA1093CX1XB01917-A96192A-R11-C27	None
SA1093CX1XB01917-A96192A-R11-C35	C
SA1093CX1XB01917-A96192A-R11-C42	A
SA1093CX1XB01917-A96192A-R11-C47	B
SA1093CX1XB01917-A96192A-R11-C52	D
SA1093CX1XB01917-A96192A-R11-C56	C
SA1093CX1XB01917-A96192A-R11-C58	D
SA1093CX1XB01917-A96192A-R11-C61	None
SA1093CX1XB01917-A96192A-R11-C70	C
SA1093CX1XB01917-A96192A-R12-C11	D
SA1093CX1XB01917-A96192A-R12-C19	C
SA1093CX1XB01917-A96192A-R12-C22	C
SA1093CX1XB01917-A96192A-R12-C24	D
SA1093CX1XB01917-A96192A-R12-C28	A
SA1093CX1XB01917-A96192A-R12-C44	D
SA1093CX1XB01917-A96192A-R12-C50	A
SA1093CX1XB01917-A96192A-R12-C52	D
SA1093CX1XB01917-A96192A-R12-C58	None
SA1093CX1XB01917-A96192A-R12-C62	A
SA1093CX1XB01917-A96192A-R12-C64	C
SA1093CX1XB01917-A96192A-R12-C69	C
SA1093CX1XB01917-A96192A-R13-C16	C
SA1093CX1XB01917-A96192A-R13-C25	D
SA1093CX1XB01917-A96192A-R13-C34	D
SA1093CX1XB01917-A96192A-R13-C35	C
SA1093CX1XB01917-A96192A-R13-C61	D
SA1093CX1XB01917-A96192A-R14-C07	D
SA1093CX1XB01917-A96192A-R14-C08	A
SA1093CX1XB01917-A96192A-R14-C09	B
SA1093CX1XB01917-A96192A-R14-C11	D
SA1093CX1XB01917-A96192A-R14-C21	A
SA1093CX1XB01917-A96192A-R14-C31	A
SA1093CX1XB01917-A96192A-R14-C39	B
SA1093CX1XB01917-A96192A-R14-C40	B
SA1093CX1XB01917-A96192A-R14-C45	A
SA1093CX1XB01917-A96192A-R14-C47	B
SA1093CX1XB01917-A96192A-R14-C48	None
SA1093CX1XB01917-A96192A-R14-C58	C
SA1093CX1XB01917-A96192A-R14-C64	D
SA1093CX1XB01917-A96192A-R14-C68	A
SA1093CX1XB01917-A96192A-R14-C69	C
SA1093CX1XB01917-A96192A-R15-C09	C
SA1093CX1XB01917-A96192A-R15-C14	A
SA1093CX1XB01917-A96192A-R15-C17	D
SA1093CX1XB01917-A96192A-R15-C20	A
SA1093CX1XB01917-A96192A-R15-C29	D
SA1093CX1XB01917-A96192A-R15-C31	A
SA1093CX1XB01917-A96192A-R15-C36	A
SA1093CX1XB01917-A96192A-R15-C40	D
SA1093CX1XB01917-A96192A-R15-C43	C
SA1093CX1XB01917-A96192A-R15-C47	B
SA1093CX1XB01917-A96192A-R15-C51	B
SA1093CX1XB01917-A96192A-R15-C60	A
SA1093CX1XB01917-A96192A-R15-C63	B
SA1093CX1XB01917-A96192A-R15-C66	D
SA1093CX1XB01917-A96192A-R16-C07	A
SA1093CX1XB01917-A96192A-R16-C08	C
SA1093CX1XB01917-A96192A-R16-C12	A
SA1093CX1XB01917-A96192A-R16-C18	B
SA1093CX1XB01917-A96192A-R16-C24	C
SA1093CX1XB01917-A96192A-R16-C38	A
SA1093CX1XB01917-A96192A-R16-C42	A
SA1093CX1XB01917-A96192A-R16-C47	C
SA1093CX1XB01917-A96192A-R16-C54	D
SA1093CX1XB01917-A96192A-R16-C55	None
SA1093CX1XB01917-A96192A-R16-C60	A
SA1093CX1XB01917-A96192A-R16-C65	C
SA1093CX1XB01917-A96192A-R16-C68	B
SA1093CX1XB01917-A96192A-R16-C69	C
SA1093CX1XB01917-A96192A-R17-C07	B
SA1093CX1XB01917-A96192A-R17-C10	C
SA1093CX1XB01917-A96192A-R17-C15	A
SA1093CX1XB01917-A96192A-R17-C16	D
SA1093CX1XB01917-A96192A-R17-C22	A
SA1093CX1XB01917-A96192A-R17-C23	A
SA1093CX1XB01917-A96192A-R17-C25	B
SA1093CX1XB01917-A96192A-R17-C35	A
SA1093CX1XB01917-A96192A-R17-C49	C
SA1093CX1XB01917-A96192A-R17-C50	A
SA1093CX1XB01917-A96192A-R17-C52	A
SA1093CX1XB01917-A96192A-R17-C53	A
SA1093CX1XB01917-A96192A-R17-C55	B
SA1093CX1XB01917-A96192A-R17-C59	D
SA1093CX1XB01917-A96192A-R17-C61	A
SA1093CX1XB01917-A96192A-R18-C07	D
SA1093CX1XB01917-A96192A-R18-C14	B
SA1093CX1XB01917-A96192A-R18-C19	D
SA1093CX1XB01917-A96192A-R18-C22	A
SA1093CX1XB01917-A96192A-R18-C24	C
SA1093CX1XB01917-A96192A-R18-C35	D
SA1093CX1XB01917-A96192A-R18-C42	C
SA1093CX1XB01917-A96192A-R18-C46	C
SA1093CX1XB01917-A96192A-R18-C49	B
SA1093CX1XB01917-A96192A-R18-C58	C
SA1093CX1XB01917-A96192A-R18-C66	C
SA1093CX1XB01917-A96192A-R19-C07	D
SA1093CX1XB01917-A96192A-R19-C26	None
SA1093CX1XB01917-A96192A-R19-C29	B
SA1093CX1XB01917-A96192A-R19-C32	D
SA1093CX1XB01917-A96192A-R19-C35	C
SA1093CX1XB01917-A96192A-R19-C50	D
SA1093CX1XB01917-A96192A-R19-C64	A
SA1093CX1XB01917-A96192A-R19-C66	C
SA1093CX1XB01917-A96192A-R20-C17	D
SA1093CX1XB01917-A96192A-R20-C23	A
SA1093CX1XB01917-A96192A-R20-C24	B
SA1093CX1XB01917-A96192A-R20-C35	C
SA1093CX1XB01917-A96192A-R20-C37	B
SA1093CX1XB01917-A96192A-R20-C42	C
SA1093CX1XB01917-A96192A-R20-C45	B
SA1093CX1XB01917-A96192A-R20-C58	C
SA1093CX1XB01917-A96192A-R20-C60	D
SA1093CX1XB01917-A96192A-R21-C07	D
SA1093CX1XB01917-A96192A-R21-C09	B
SA1093CX1XB01917-A96192A-R21-C12	C
SA1093CX1XB01917-A96192A-R21-C16	D
SA1093CX1XB01917-A96192A-R21-C18	D
SA1093CX1XB01917-A96192A-R21-C19	D
SA1093CX1XB01917-A96192A-R21-C26	D
SA1093CX1XB01917-A96192A-R21-C44	C
SA1093CX1XB01917-A96192A-R21-C51	D
SA1093CX1XB01917-A96192A-R21-C56	A
SA1093CX1XB01917-A96192A-R21-C67	A
SA1093CX1XB01917-A96192A-R21-C70	None
SA1093CX1XB01917-A96192A-R22-C10	A
SA1093CX1XB01917-A96192A-R22-C11	D
SA1093CX1XB01917-A96192A-R22-C17	B
SA1093CX1XB01917-A96192A-R22-C20	D
SA1093CX1XB01917-A96192A-R22-C21	C
SA1093CX1XB01917-A96192A-R22-C22	C
SA1093CX1XB01917-A96192A-R22-C28	D
SA1093CX1XB01917-A96192A-R22-C30	D
SA1093CX1XB01917-A96192A-R22-C34	A
SA1093CX1XB01917-A96192A-R22-C48	C
SA1093CX1XB01917-A96192A-R22-C56	D
SA1093CX1XB01917-A96192A-R23-C18	D
SA1093CX1XB01917-A96192A-R23-C35	D
SA1093CX1XB01917-A96192A-R23-C40	D
SA1093CX1XB01917-A96192A-R23-C49	B
SA1093CX1XB01917-A96192A-R23-C51	A
SA1093CX1XB01917-A96192A-R23-C69	C
SA1093CX1XB01917-A96192A-R24-C13	C
SA1093CX1XB01917-A96192A-R24-C17	D
SA1093CX1XB01917-A96192A-R24-C18	D
SA1093CX1XB01917-A96192A-R24-C33	A
SA1093CX1XB01917-A96192A-R24-C36	C
SA1093CX1XB01917-A96192A-R24-C38	C
SA1093CX1XB01917-A96192A-R24-C50	C
SA1093CX1XB01917-A96192A-R24-C60	C
SA1093CX1XB01917-A96192A-R25-C07	D
SA1093CX1XB01917-A96192A-R25-C21	B
SA1093CX1XB01917-A96192A-R25-C45	A
SA1093CX1XB01917-A96192A-R26-C07	A
SA1093CX1XB01917-A96192A-R26-C13	A
SA1093CX1XB01917-A96192A-R26-C14	A
SA1093CX1XB01917-A96192A-R26-C20	D
SA1093CX1XB01917-A96192A-R26-C28	D
SA1093CX1XB01917-A96192A-R26-C32	C
SA1093CX1XB01917-A96192A-R26-C62	C
SA1093CX1XB01917-A96192A-R26-C66	D
SA1093CX1XB01917-A96192A-R27-C18	D
SA1093CX1XB01917-A96192A-R27-C39	D
SA1093CX1XB01917-A96192A-R27-C40	C
SA1093CX1XB01917-A96192A-R27-C41	C
SA1093CX1XB01917-A96192A-R27-C48	D
SA1093CX1XB01917-A96192A-R27-C51	B
SA1093CX1XB01917-A96192A-R27-C56	D
SA1093CX1XB01917-A96192A-R27-C65	C
SA1093CX1XB01917-A96192A-R27-C69	C
SA1093CX1XB01917-A96192A-R27-C70	D
SA1093CX1XB01917-A96192A-R28-C26	D
SA1093CX1XB01917-A96192A-R28-C43	None
SA1093CX1XB01917-A96192A-R28-C44	D
SA1093CX1XB01917-A96192A-R28-C49	D
SA1093CX1XB01917-A96192A-R28-C65	A
SA1093CX1XB01917-A96192A-R29-C10	C
SA1093CX1XB01917-A96192A-R29-C13	D
SA1093CX1XB01917-A96192A-R29-C14	A
SA1093CX1XB01917-A96192A-R29-C23	D
SA1093CX1XB01917-A96192A-R29-C31	A
SA1093CX1XB01917-A96192A-R29-C44	D
SA1093CX1XB01917-A96192A-R29-C47	A
SA1093CX1XB01917-A96192A-R29-C50	A
SA1093CX1XB01917-A96192A-R29-C52	D
SA1093CX1XB01917-A96192A-R29-C54	B
SA1093CX1XB01917-A96192A-R29-C58	D
SA1093CX1XB01917-A96192A-R29-C62	A
SA1093CX1XB01917-A96192A-R29-C63	C
SA1093CX1XB01917-A96192A-R29-C70	A
SA1093CX1XB01917-A96192A-R30-C08	C
SA1093CX1XB01917-A96192A-R30-C12	C
SA1093CX1XB01917-A96192A-R30-C22	D
SA1093CX1XB01917-A96192A-R30-C28	A
SA1093CX1XB01917-A96192A-R30-C35	A
SA1093CX1XB01917-A96192A-R30-C47	C
SA1093CX1XB01917-A96192A-R30-C55	C
SA1093CX1XB01917-A96192A-R30-C56	A
SA1093CX1XB01917-A96192A-R31-C18	C
SA1093CX1XB01917-A96192A-R31-C19	C
SA1093CX1XB01917-A96192A-R31-C22	A
SA1093CX1XB01917-A96192A-R31-C41	D
SA1093CX1XB01917-A96192A-R31-C48	D
SA1093CX1XB01917-A96192A-R31-C64	A
SA1093CX1XB01917-A96192A-R31-C68	D
SA1093CX1XB01917-A96192A-R32-C18	D
SA1093CX1XB01917-A96192A-R32-C26	A
SA1093CX1XB01917-A96192A-R32-C29	C
SA1093CX1XB01917-A96192A-R32-C31	D
SA1093CX1XB01917-A96192A-R32-C37	B
SA1093CX1XB01917-A96192A-R32-C60	D
SA1093CX1XB01917-A96192A-R32-C61	B
