cell_id	clone_id
SA1053BX1XB01603-A96194A-R03-C07	B
SA1053BX1XB01603-A96194A-R03-C08	F
SA1053BX1XB01603-A96194A-R03-C09	F
SA1053BX1XB01603-A96194A-R03-C11	B
SA1053BX1XB01603-A96194A-R03-C14	F
SA1053BX1XB01603-A96194A-R03-C16	B
SA1053BX1XB01603-A96194A-R03-C19	G
SA1053BX1XB01603-A96194A-R03-C20	B
SA1053BX1XB01603-A96194A-R03-C22	B
SA1053BX1XB01603-A96194A-R03-C23	B
SA1053BX1XB01603-A96194A-R03-C25	F
SA1053BX1XB01603-A96194A-R03-C26	B
SA1053BX1XB01603-A96194A-R03-C28	F
SA1053BX1XB01603-A96194A-R03-C29	F
SA1053BX1XB01603-A96194A-R03-C30	F
SA1053BX1XB01603-A96194A-R03-C32	B
SA1053BX1XB01603-A96194A-R03-C33	B
SA1053BX1XB01603-A96194A-R03-C34	F
SA1053BX1XB01603-A96194A-R03-C35	B
SA1053BX1XB01603-A96194A-R03-C39	B
SA1053BX1XB01603-A96194A-R03-C40	B
SA1053BX1XB01603-A96194A-R03-C41	F
SA1053BX1XB01603-A96194A-R03-C42	B
SA1053BX1XB01603-A96194A-R03-C43	F
SA1053BX1XB01603-A96194A-R03-C45	B
SA1053BX1XB01603-A96194A-R03-C46	B
SA1053BX1XB01603-A96194A-R03-C47	B
SA1053BX1XB01603-A96194A-R03-C48	B
SA1053BX1XB01603-A96194A-R03-C49	B
SA1053BX1XB01603-A96194A-R03-C51	B
SA1053BX1XB01603-A96194A-R03-C52	B
SA1053BX1XB01603-A96194A-R03-C54	F
SA1053BX1XB01603-A96194A-R03-C55	B
SA1053BX1XB01603-A96194A-R03-C57	F
SA1053BX1XB01603-A96194A-R03-C59	B
SA1053BX1XB01603-A96194A-R03-C61	B
SA1053BX1XB01603-A96194A-R03-C64	G
SA1053BX1XB01603-A96194A-R03-C65	B
SA1053BX1XB01603-A96194A-R03-C67	F
SA1053BX1XB01603-A96194A-R03-C68	G
SA1053BX1XB01603-A96194A-R03-C69	B
SA1053BX1XB01603-A96194A-R04-C07	B
SA1053BX1XB01603-A96194A-R04-C08	B
SA1053BX1XB01603-A96194A-R04-C13	B
SA1053BX1XB01603-A96194A-R04-C16	D
