cell_id	clone_id
SA1090-A96213A-R29-C38	B
SA1090-A96213A-R29-C40	A
SA1090-A96213A-R29-C42	A
SA1090-A96213A-R29-C44	A
SA1090-A96213A-R29-C46	A
SA1090-A96213A-R29-C47	B
SA1090-A96213A-R29-C48	B
SA1090-A96213A-R29-C49	A
SA1090-A96213A-R29-C55	D
SA1090-A96213A-R29-C57	C
SA1090-A96213A-R29-C59	A
SA1090-A96213A-R29-C60	B
SA1090-A96213A-R29-C61	None
SA1090-A96213A-R29-C62	D
SA1090-A96213A-R29-C63	A
SA1090-A96213A-R29-C65	A
SA1090-A96213A-R29-C68	None
SA1090-A96213A-R29-C69	A
SA1090-A96213A-R29-C70	B
SA1090-A96213A-R30-C08	A
SA1090-A96213A-R30-C09	A
SA1090-A96213A-R30-C10	A
SA1090-A96213A-R30-C11	A
SA1090-A96213A-R30-C14	A
SA1090-A96213A-R30-C15	B
SA1090-A96213A-R30-C17	A
SA1090-A96213A-R30-C18	B
SA1090-A96213A-R30-C31	D
SA1090-A96213A-R30-C32	C
SA1090-A96213A-R30-C34	D
SA1090-A96213A-R30-C36	B
SA1090-A96213A-R30-C38	D
SA1090-A96213A-R30-C41	A
SA1090-A96213A-R30-C42	B
SA1090-A96213A-R30-C44	A
SA1090-A96213A-R30-C45	C
SA1090-A96213A-R30-C49	B
SA1090-A96213A-R30-C50	B
SA1090-A96213A-R30-C51	B
SA1090-A96213A-R30-C52	D
SA1090-A96213A-R30-C53	D
SA1090-A96213A-R30-C54	D
SA1090-A96213A-R30-C56	A
SA1090-A96213A-R30-C57	B
SA1090-A96213A-R30-C58	A
SA1090-A96213A-R30-C61	B
SA1090-A96213A-R30-C62	B
SA1090-A96213A-R30-C63	D
SA1090-A96213A-R30-C64	A
SA1090-A96213A-R30-C65	D
SA1090-A96213A-R30-C66	B
SA1090-A96213A-R30-C68	B
SA1090-A96213A-R30-C70	D
SA1090-A96213A-R31-C09	A
SA1090-A96213A-R31-C10	A
SA1090-A96213A-R31-C12	D
