cell_id	clone_id
SA1181AX1XB02700-A108765A-R03-C09	F
SA1181AX1XB02700-A108765A-R03-C10	E
SA1181AX1XB02700-A108765A-R03-C24	C
SA1181AX1XB02700-A108765A-R03-C42	D
SA1181AX1XB02700-A108765A-R03-C45	F
SA1181AX1XB02700-A108765A-R04-C11	E
SA1181AX1XB02700-A108765A-R04-C16	A
SA1181AX1XB02700-A108765A-R04-C23	F
SA1181AX1XB02700-A108765A-R04-C24	D
SA1181AX1XB02700-A108765A-R04-C34	A
SA1181AX1XB02700-A108765A-R04-C42	E
SA1181AX1XB02700-A108765A-R04-C46	A
SA1181AX1XB02700-A108765A-R04-C52	C
SA1181AX1XB02700-A108765A-R04-C53	F
SA1181AX1XB02700-A108765A-R04-C55	A
SA1181AX1XB02700-A108765A-R04-C62	F
SA1181AX1XB02700-A108765A-R04-C65	B
SA1181AX1XB02700-A108765A-R05-C19	A
SA1181AX1XB02700-A108765A-R05-C26	F
SA1181AX1XB02700-A108765A-R05-C28	A
SA1181AX1XB02700-A108765A-R05-C38	B
SA1181AX1XB02700-A108765A-R05-C39	D
SA1181AX1XB02700-A108765A-R05-C41	C
SA1181AX1XB02700-A108765A-R05-C55	None
SA1181AX1XB02700-A108765A-R05-C62	A
SA1181AX1XB02700-A108765A-R05-C67	A
SA1181AX1XB02700-A108765A-R06-C09	C
SA1181AX1XB02700-A108765A-R06-C20	F
SA1181AX1XB02700-A108765A-R06-C21	D
SA1181AX1XB02700-A108765A-R06-C22	F
SA1181AX1XB02700-A108765A-R06-C23	A
SA1181AX1XB02700-A108765A-R06-C27	D
SA1181AX1XB02700-A108765A-R06-C37	F
SA1181AX1XB02700-A108765A-R06-C38	F
SA1181AX1XB02700-A108765A-R06-C39	A
SA1181AX1XB02700-A108765A-R06-C41	F
SA1181AX1XB02700-A108765A-R06-C44	F
SA1181AX1XB02700-A108765A-R06-C48	E
SA1181AX1XB02700-A108765A-R06-C49	None
SA1181AX1XB02700-A108765A-R06-C50	None
SA1181AX1XB02700-A108765A-R06-C51	F
SA1181AX1XB02700-A108765A-R06-C67	A
SA1181AX1XB02700-A108765A-R06-C68	A
SA1181AX1XB02700-A108765A-R06-C70	A
SA1181AX1XB02700-A108765A-R07-C17	A
SA1181AX1XB02700-A108765A-R07-C33	E
SA1181AX1XB02700-A108765A-R07-C59	F
SA1181AX1XB02700-A108765A-R07-C65	B
SA1181AX1XB02700-A108765A-R07-C67	A
SA1181AX1XB02700-A108765A-R07-C69	A
SA1181AX1XB02700-A108765A-R08-C11	F
SA1181AX1XB02700-A108765A-R08-C20	A
SA1181AX1XB02700-A108765A-R08-C23	A
SA1181AX1XB02700-A108765A-R08-C24	F
SA1181AX1XB02700-A108765A-R08-C25	A
SA1181AX1XB02700-A108765A-R08-C33	F
SA1181AX1XB02700-A108765A-R08-C46	C
SA1181AX1XB02700-A108765A-R08-C50	D
SA1181AX1XB02700-A108765A-R08-C53	B
SA1181AX1XB02700-A108765A-R09-C13	F
SA1181AX1XB02700-A108765A-R09-C28	E
SA1181AX1XB02700-A108765A-R09-C29	B
SA1181AX1XB02700-A108765A-R09-C33	A
SA1181AX1XB02700-A108765A-R09-C34	F
SA1181AX1XB02700-A108765A-R09-C35	A
SA1181AX1XB02700-A108765A-R09-C36	F
SA1181AX1XB02700-A108765A-R09-C39	E
SA1181AX1XB02700-A108765A-R09-C40	D
SA1181AX1XB02700-A108765A-R09-C51	B
SA1181AX1XB02700-A108765A-R09-C52	E
SA1181AX1XB02700-A108765A-R09-C54	D
SA1181AX1XB02700-A108765A-R09-C60	A
SA1181AX1XB02700-A108765A-R09-C61	A
SA1181AX1XB02700-A108765A-R09-C65	C
SA1181AX1XB02700-A108765A-R09-C69	C
SA1181AX1XB02700-A108765A-R10-C24	None
SA1181AX1XB02700-A108765A-R10-C30	B
SA1181AX1XB02700-A108765A-R10-C32	F
SA1181AX1XB02700-A108765A-R10-C35	A
SA1181AX1XB02700-A108765A-R10-C37	B
SA1181AX1XB02700-A108765A-R10-C38	E
SA1181AX1XB02700-A108765A-R10-C43	F
SA1181AX1XB02700-A108765A-R10-C51	B
SA1181AX1XB02700-A108765A-R10-C56	C
SA1181AX1XB02700-A108765A-R10-C59	B
SA1181AX1XB02700-A108765A-R10-C62	A
SA1181AX1XB02700-A108765A-R10-C67	B
SA1181AX1XB02700-A108765A-R11-C13	A
SA1181AX1XB02700-A108765A-R11-C17	C
SA1181AX1XB02700-A108765A-R11-C18	F
SA1181AX1XB02700-A108765A-R11-C22	D
