cell_id	clone_id
SA1090-A96213A-R20-C11	B
SA1090-A96213A-R20-C18	B
SA1090-A96213A-R20-C19	B
SA1090-A96213A-R20-C22	B
SA1090-A96213A-R20-C23	C
SA1090-A96213A-R20-C25	C
SA1090-A96213A-R20-C26	B
SA1090-A96213A-R20-C31	C
SA1090-A96213A-R20-C32	C
SA1090-A96213A-R20-C35	B
SA1090-A96213A-R20-C36	C
SA1090-A96213A-R20-C37	C
SA1090-A96213A-R20-C40	B
SA1090-A96213A-R20-C48	C
SA1090-A96213A-R20-C50	C
SA1090-A96213A-R20-C54	C
SA1090-A96213A-R20-C56	C
SA1090-A96213A-R20-C57	C
SA1090-A96213A-R20-C61	B
SA1090-A96213A-R20-C62	C
SA1090-A96213A-R20-C65	B
SA1090-A96213A-R20-C69	B
SA1090-A96213A-R22-C20	C
SA1090-A96213A-R22-C21	B
SA1090-A96213A-R22-C22	C
SA1090-A96213A-R22-C24	B
SA1090-A96213A-R22-C26	C
SA1090-A96213A-R22-C27	C
SA1090-A96213A-R22-C28	B
SA1090-A96213A-R22-C30	B
SA1090-A96213A-R22-C33	C
SA1090-A96213A-R22-C34	B
SA1090-A96213A-R22-C38	C
SA1090-A96213A-R22-C39	C
SA1090-A96213A-R22-C41	C
SA1090-A96213A-R22-C43	B
SA1090-A96213A-R22-C44	B
SA1090-A96213A-R22-C45	C
SA1090-A96213A-R22-C46	C
SA1090-A96213A-R22-C47	B
SA1090-A96213A-R22-C48	B
SA1090-A96213A-R22-C50	B
SA1090-A96213A-R24-C12	C
SA1090-A96213A-R24-C13	B
SA1090-A96213A-R24-C14	B
SA1090-A96213A-R24-C17	B
SA1090-A96213A-R24-C20	B
SA1090-A96213A-R24-C22	B
SA1090-A96213A-R24-C23	B
SA1090-A96213A-R24-C24	C
SA1090-A96213A-R24-C25	C
SA1090-A96213A-R24-C26	C
SA1090-A96213A-R24-C27	B
SA1090-A96213A-R24-C29	C
SA1090-A96213A-R24-C32	C
SA1090-A96213A-R24-C33	B
SA1090-A96213A-R24-C38	C
SA1090-A96213A-R24-C39	B
SA1090-A96213A-R24-C40	C
SA1090-A96213A-R24-C42	C
SA1090-A96213A-R24-C43	B
SA1090-A96213A-R24-C44	B
SA1090-A96213A-R24-C46	B
SA1090-A96213A-R24-C47	C
SA1090-A96213A-R24-C48	C
SA1090-A96213A-R24-C53	B
SA1090-A96213A-R24-C54	B
SA1090-A96213A-R24-C55	B
SA1090-A96213A-R24-C56	B
SA1090-A96213A-R24-C57	B
SA1090-A96213A-R24-C59	B
SA1090-A96213A-R24-C61	B
SA1090-A96213A-R24-C63	B
SA1090-A96213A-R24-C64	C
SA1090-A96213A-R24-C65	C
SA1090-A96213A-R24-C66	B
SA1090-A96213A-R24-C68	C
SA1090-A96213A-R24-C70	B
SA1090-A96213A-R25-C09	B
SA1090-A96213A-R25-C12	C
SA1090-A96213A-R25-C13	B
SA1090-A96213A-R25-C15	C
SA1090-A96213A-R25-C16	C
SA1090-A96213A-R25-C18	B
SA1090-A96213A-R25-C22	C
SA1090-A96213A-R25-C23	B
SA1090-A96213A-R25-C24	B
SA1090-A96213A-R25-C33	C
SA1090-A96213A-R25-C39	C
SA1090-A96213A-R25-C44	C
SA1090-A96213A-R25-C46	C
SA1090-A96213A-R25-C51	C
SA1090-A96213A-R25-C57	B
SA1090-A96213A-R25-C61	B
SA1090-A96213A-R25-C65	C
SA1090-A96213A-R25-C67	B
SA1090-A96213A-R26-C14	B
SA1090-A96213A-R26-C33	B
SA1090-A96213A-R26-C37	B
SA1090-A96213A-R26-C43	B
SA1090-A96213A-R26-C45	B
SA1090-A96213A-R26-C46	C
SA1090-A96213A-R26-C50	C
SA1090-A96213A-R26-C62	C
SA1090-A96213A-R26-C64	B
SA1090-A96213A-R26-C65	B
SA1090-A96213A-R26-C66	C
SA1090-A96213A-R26-C68	C
SA1090-A96213A-R26-C70	C
SA1090-A96213A-R27-C07	C
SA1090-A96213A-R27-C33	C
SA1090-A96213A-R27-C35	C
SA1090-A96213A-R27-C42	C
SA1090-A96213A-R27-C45	C
SA1090-A96213A-R27-C47	B
SA1090-A96213A-R27-C48	C
SA1090-A96213A-R27-C55	C
SA1090-A96213A-R27-C62	B
SA1090-A96213A-R27-C63	B
SA1090-A96213A-R27-C64	B
SA1090-A96213A-R27-C66	C
SA1090-A96213A-R28-C08	B
SA1090-A96213A-R28-C09	B
SA1090-A96213A-R28-C10	C
SA1090-A96213A-R28-C11	B
SA1090-A96213A-R28-C13	C
SA1090-A96213A-R28-C15	C
SA1090-A96213A-R28-C16	B
SA1090-A96213A-R28-C18	C
SA1090-A96213A-R28-C21	C
SA1090-A96213A-R28-C22	B
SA1090-A96213A-R28-C23	C
SA1090-A96213A-R28-C25	B
SA1090-A96213A-R28-C26	B
SA1090-A96213A-R28-C27	C
SA1090-A96213A-R28-C28	C
SA1090-A96213A-R28-C29	C
SA1090-A96213A-R28-C30	B
SA1090-A96213A-R28-C32	B
SA1090-A96213A-R28-C33	B
SA1090-A96213A-R28-C34	B
SA1090-A96213A-R28-C36	C
SA1090-A96213A-R28-C38	B
SA1090-A96213A-R28-C39	C
SA1090-A96213A-R28-C40	C
SA1090-A96213A-R28-C42	B
SA1090-A96213A-R28-C43	B
SA1090-A96213A-R28-C45	C
SA1090-A96213A-R28-C46	B
SA1090-A96213A-R28-C48	C
SA1090-A96213A-R28-C50	B
SA1090-A96213A-R28-C52	C
SA1090-A96213A-R28-C53	C
SA1090-A96213A-R28-C55	B
SA1090-A96213A-R28-C57	B
SA1090-A96213A-R28-C58	C
SA1090-A96213A-R28-C60	C
SA1090-A96213A-R28-C61	C
SA1090-A96213A-R28-C62	C
SA1090-A96213A-R28-C63	B
