cell_id	clone_id
SA1049AX1XB01417-A95652B-R35-C27	H
SA1049AX1XB01417-A95652B-R35-C33	H
SA1049AX1XB01417-A95652B-R35-C53	H
SA1049AX1XB01417-A95652B-R35-C62	H
SA1049AX1XB01417-A95652B-R36-C09	H
SA1049AX1XB01417-A95652B-R36-C12	H
SA1049AX1XB01417-A95652B-R36-C20	D
SA1049AX1XB01417-A95652B-R36-C43	H
SA1049AX1XB01417-A95652B-R36-C44	H
SA1049AX1XB01417-A95652B-R36-C45	H
SA1049AX1XB01417-A95652B-R36-C48	H
SA1049AX1XB01417-A95652B-R36-C49	H
SA1049AX1XB01417-A95652B-R36-C61	H
SA1049AX1XB01417-A95652B-R36-C65	H
SA1049AX1XB01417-A95652B-R37-C07	D
SA1049AX1XB01417-A95652B-R37-C16	H
SA1049AX1XB01417-A95652B-R37-C18	F
SA1049AX1XB01417-A95652B-R37-C19	H
SA1049AX1XB01417-A95652B-R37-C35	D
SA1049AX1XB01417-A95652B-R37-C44	H
SA1049AX1XB01417-A95652B-R37-C45	H
SA1049AX1XB01417-A95652B-R37-C51	H
SA1049AX1XB01417-A95652B-R37-C59	H
SA1049AX1XB01417-A95652B-R37-C61	H
SA1049AX1XB01417-A95652B-R38-C09	G
SA1049AX1XB01417-A95652B-R38-C10	G
SA1049AX1XB01417-A95652B-R38-C11	H
SA1049AX1XB01417-A95652B-R38-C12	H
SA1049AX1XB01417-A95652B-R38-C13	G
SA1049AX1XB01417-A95652B-R38-C16	F
SA1049AX1XB01417-A95652B-R38-C29	H
SA1049AX1XB01417-A95652B-R38-C33	G
SA1049AX1XB01417-A95652B-R38-C50	H
SA1049AX1XB01417-A95652B-R38-C55	H
SA1049AX1XB01417-A95652B-R38-C65	H
SA1049AX1XB01417-A95652B-R38-C68	H
SA1049AX1XB01417-A95652B-R39-C08	G
SA1049AX1XB01417-A95652B-R39-C11	None
SA1049AX1XB01417-A95652B-R39-C15	H
SA1049AX1XB01417-A95652B-R39-C17	H
SA1049AX1XB01417-A95652B-R39-C19	H
SA1049AX1XB01417-A95652B-R39-C21	H
SA1049AX1XB01417-A95652B-R39-C24	H
SA1049AX1XB01417-A95652B-R39-C33	None
SA1049AX1XB01417-A95652B-R39-C41	H
SA1049AX1XB01417-A95652B-R39-C48	H
SA1049AX1XB01417-A95652B-R39-C52	H
SA1049AX1XB01417-A95652B-R39-C54	H
SA1049AX1XB01417-A95652B-R39-C58	H
SA1049AX1XB01417-A95652B-R39-C59	E
SA1049AX1XB01417-A95652B-R39-C65	H
SA1049AX1XB01417-A95652B-R39-C70	F
SA1049AX1XB01417-A95652B-R40-C12	D
SA1049AX1XB01417-A95652B-R40-C13	H
SA1049AX1XB01417-A95652B-R40-C14	None
SA1049AX1XB01417-A95652B-R40-C15	H
SA1049AX1XB01417-A95652B-R40-C20	H
SA1049AX1XB01417-A95652B-R40-C28	E
SA1049AX1XB01417-A95652B-R40-C29	H
SA1049AX1XB01417-A95652B-R40-C31	H
SA1049AX1XB01417-A95652B-R40-C32	F
SA1049AX1XB01417-A95652B-R40-C33	H
SA1049AX1XB01417-A95652B-R40-C39	H
SA1049AX1XB01417-A95652B-R40-C44	H
SA1049AX1XB01417-A95652B-R40-C48	H
SA1049AX1XB01417-A95652B-R40-C51	H
SA1049AX1XB01417-A95652B-R40-C52	G
SA1049AX1XB01417-A95652B-R40-C53	None
SA1049AX1XB01417-A95652B-R40-C55	H
SA1049AX1XB01417-A95652B-R40-C60	G
SA1049AX1XB01417-A95652B-R40-C61	H
SA1049AX1XB01417-A95652B-R40-C62	H
SA1049AX1XB01417-A95652B-R40-C65	H
SA1049AX1XB01417-A95652B-R40-C68	H
SA1049AX1XB01417-A95652B-R41-C09	H
SA1049AX1XB01417-A95652B-R41-C12	H
SA1049AX1XB01417-A95652B-R41-C15	G
SA1049AX1XB01417-A95652B-R41-C16	H
SA1049AX1XB01417-A95652B-R41-C17	H
SA1049AX1XB01417-A95652B-R41-C19	H
SA1049AX1XB01417-A95652B-R41-C20	D
SA1049AX1XB01417-A95652B-R41-C23	None
SA1049AX1XB01417-A95652B-R41-C24	H
SA1049AX1XB01417-A95652B-R41-C27	H
SA1049AX1XB01417-A95652B-R41-C29	H
SA1049AX1XB01417-A95652B-R41-C30	H
SA1049AX1XB01417-A95652B-R41-C31	H
SA1049AX1XB01417-A95652B-R41-C33	G
SA1049AX1XB01417-A95652B-R41-C38	F
SA1049AX1XB01417-A95652B-R41-C39	H
SA1049AX1XB01417-A95652B-R41-C40	E
SA1049AX1XB01417-A95652B-R41-C42	H
SA1049AX1XB01417-A95652B-R41-C44	E
SA1049AX1XB01417-A95652B-R41-C48	H
SA1049AX1XB01417-A95652B-R41-C51	H
SA1049AX1XB01417-A95652B-R41-C52	H
SA1049AX1XB01417-A95652B-R41-C56	H
SA1049AX1XB01417-A95652B-R41-C57	H
SA1049AX1XB01417-A95652B-R41-C61	H
SA1049AX1XB01417-A95652B-R41-C63	H
SA1049AX1XB01417-A95652B-R41-C64	None
SA1049AX1XB01417-A95652B-R41-C66	H
SA1049AX1XB01417-A95652B-R41-C68	None
SA1049AX1XB01417-A95652B-R41-C70	E
SA1049AX1XB01417-A95652B-R42-C08	H
SA1049AX1XB01417-A95652B-R42-C15	None
SA1049AX1XB01417-A95652B-R42-C18	None
SA1049AX1XB01417-A95652B-R42-C19	H
SA1049AX1XB01417-A95652B-R42-C25	H
SA1049AX1XB01417-A95652B-R42-C26	H
SA1049AX1XB01417-A95652B-R42-C27	E
SA1049AX1XB01417-A95652B-R42-C29	H
SA1049AX1XB01417-A95652B-R42-C31	None
SA1049AX1XB01417-A95652B-R42-C33	D
SA1049AX1XB01417-A95652B-R42-C36	H
SA1049AX1XB01417-A95652B-R42-C40	G
SA1049AX1XB01417-A95652B-R42-C42	None
SA1049AX1XB01417-A95652B-R42-C44	E
SA1049AX1XB01417-A95652B-R42-C45	D
SA1049AX1XB01417-A95652B-R42-C46	H
SA1049AX1XB01417-A95652B-R42-C47	H
SA1049AX1XB01417-A95652B-R42-C49	H
SA1049AX1XB01417-A95652B-R42-C51	H
SA1049AX1XB01417-A95652B-R42-C53	H
SA1049AX1XB01417-A95652B-R42-C54	G
SA1049AX1XB01417-A95652B-R42-C57	H
SA1049AX1XB01417-A95652B-R42-C60	H
SA1049AX1XB01417-A95652B-R42-C61	H
SA1049AX1XB01417-A95652B-R42-C63	H
SA1049AX1XB01417-A95652B-R42-C65	H
SA1049AX1XB01417-A95652B-R42-C67	H
SA1049AX1XB01417-A95652B-R42-C68	H
SA1049AX1XB01417-A95652B-R42-C69	H
SA1049AX1XB01417-A95652B-R43-C09	H
SA1049AX1XB01417-A95652B-R43-C11	H
SA1049AX1XB01417-A95652B-R43-C14	H
SA1049AX1XB01417-A95652B-R43-C18	H
SA1049AX1XB01417-A95652B-R43-C19	H
SA1049AX1XB01417-A95652B-R43-C29	E
SA1049AX1XB01417-A95652B-R43-C30	H
SA1049AX1XB01417-A95652B-R43-C32	H
SA1049AX1XB01417-A95652B-R43-C38	H
SA1049AX1XB01417-A95652B-R43-C39	H
SA1049AX1XB01417-A95652B-R43-C40	H
SA1049AX1XB01417-A95652B-R43-C41	H
SA1049AX1XB01417-A95652B-R43-C42	H
