cell_id	clone_id
SA1182EX1XB02724-A108847B-R45-C23	B
SA1182EX1XB02724-A108847B-R46-C10	A
SA1182EX1XB02724-A108847B-R46-C26	B
SA1182EX1XB02724-A108847B-R47-C13	B
SA1182EX1XB02724-A108847B-R47-C14	B
SA1182EX1XB02724-A108847B-R47-C16	B
SA1182EX1XB02724-A108847B-R47-C18	B
SA1182EX1XB02724-A108847B-R47-C19	B
SA1182EX1XB02724-A108847B-R47-C25	B
SA1182EX1XB02724-A108847B-R47-C32	A
SA1182EX1XB02724-A108847B-R47-C43	B
SA1182EX1XB02724-A108847B-R47-C54	B
SA1182EX1XB02724-A108847B-R47-C57	B
SA1182EX1XB02724-A108847B-R47-C59	B
SA1182EX1XB02724-A108847B-R47-C66	B
SA1182EX1XB02724-A108847B-R47-C67	B
SA1182EX1XB02724-A108847B-R47-C70	A
SA1182EX1XB02724-A108847B-R48-C07	B
SA1182EX1XB02724-A108847B-R48-C08	B
SA1182EX1XB02724-A108847B-R48-C17	B
SA1182EX1XB02724-A108847B-R48-C20	B
SA1182EX1XB02724-A108847B-R48-C23	B
SA1182EX1XB02724-A108847B-R48-C25	B
SA1182EX1XB02724-A108847B-R48-C26	A
SA1182EX1XB02724-A108847B-R48-C31	B
SA1182EX1XB02724-A108847B-R48-C34	A
SA1182EX1XB02724-A108847B-R48-C36	A
SA1182EX1XB02724-A108847B-R48-C37	B
SA1182EX1XB02724-A108847B-R48-C38	B
SA1182EX1XB02724-A108847B-R48-C40	A
SA1182EX1XB02724-A108847B-R48-C59	B
SA1182EX1XB02724-A108847B-R48-C63	A
SA1182EX1XB02724-A108847B-R48-C66	B
SA1182EX1XB02724-A108847B-R48-C67	B
SA1182EX1XB02724-A108847B-R48-C68	B
SA1182EX1XB02724-A108847B-R49-C23	A
SA1182EX1XB02724-A108847B-R49-C31	B
SA1182EX1XB02724-A108847B-R49-C32	B
SA1182EX1XB02724-A108847B-R49-C38	B
SA1182EX1XB02724-A108847B-R49-C54	B
SA1182EX1XB02724-A108847B-R49-C61	B
SA1182EX1XB02724-A108847B-R49-C62	B
SA1182EX1XB02724-A108847B-R49-C65	B
SA1182EX1XB02724-A108847B-R49-C66	B
SA1182EX1XB02724-A108847B-R50-C08	B
SA1182EX1XB02724-A108847B-R50-C10	A
SA1182EX1XB02724-A108847B-R50-C21	B
SA1182EX1XB02724-A108847B-R50-C27	A
SA1182EX1XB02724-A108847B-R50-C28	B
SA1182EX1XB02724-A108847B-R50-C40	B
SA1182EX1XB02724-A108847B-R52-C20	B
SA1182EX1XB02724-A108847B-R52-C51	A
SA1182EX1XB02724-A108847B-R52-C56	B
SA1182EX1XB02724-A108847B-R53-C21	A
SA1182EX1XB02724-A108847B-R57-C34	B
SA1182EX1XB02724-A108847B-R57-C37	B
SA1182EX1XB02724-A108847B-R58-C10	B
SA1182EX1XB02724-A108847B-R58-C21	B
SA1182EX1XB02724-A108847B-R58-C24	A
SA1182EX1XB02724-A108847B-R58-C25	B
SA1182EX1XB02724-A108847B-R58-C36	B
SA1182EX1XB02724-A108847B-R58-C37	B
SA1182EX1XB02724-A108847B-R58-C68	B
SA1182EX1XB02724-A108847B-R59-C07	B
SA1182EX1XB02724-A108847B-R59-C11	B
SA1182EX1XB02724-A108847B-R59-C18	B
SA1182EX1XB02724-A108847B-R59-C20	B
SA1182EX1XB02724-A108847B-R59-C22	A
SA1182EX1XB02724-A108847B-R59-C23	B
SA1182EX1XB02724-A108847B-R59-C24	B
SA1182EX1XB02724-A108847B-R59-C28	B
SA1182EX1XB02724-A108847B-R59-C29	B
SA1182EX1XB02724-A108847B-R59-C33	B
SA1182EX1XB02724-A108847B-R59-C42	B
SA1182EX1XB02724-A108847B-R59-C45	B
SA1182EX1XB02724-A108847B-R59-C48	B
SA1182EX1XB02724-A108847B-R59-C51	B
SA1182EX1XB02724-A108847B-R59-C62	B
SA1182EX1XB02724-A108847B-R59-C69	B
SA1182EX1XB02724-A108847B-R60-C32	B
SA1182EX1XB02724-A108847B-R60-C36	B
SA1182EX1XB02724-A108847B-R60-C46	B
SA1182EX1XB02724-A108847B-R60-C51	B
SA1182EX1XB02724-A108847B-R60-C52	B
SA1182EX1XB02724-A108847B-R60-C56	B
SA1182EX1XB02724-A108847B-R60-C58	B
SA1182EX1XB02724-A108847B-R60-C70	B
SA1182EX1XB02724-A108847B-R61-C11	B
SA1182EX1XB02724-A108847B-R61-C17	B
SA1182EX1XB02724-A108847B-R61-C21	B
SA1182EX1XB02724-A108847B-R61-C25	B
SA1182EX1XB02724-A108847B-R61-C27	B
SA1182EX1XB02724-A108847B-R61-C28	B
SA1182EX1XB02724-A108847B-R61-C35	B
SA1182EX1XB02724-A108847B-R61-C38	A
SA1182EX1XB02724-A108847B-R61-C39	B
SA1182EX1XB02724-A108847B-R61-C51	B
SA1182EX1XB02724-A108847B-R61-C55	A
SA1182EX1XB02724-A108847B-R61-C63	B
SA1182EX1XB02724-A108847B-R62-C22	A
SA1182EX1XB02724-A108847B-R62-C36	B
SA1182EX1XB02724-A108847B-R62-C44	B
SA1182EX1XB02724-A108847B-R62-C48	A
SA1182EX1XB02724-A108847B-R62-C51	A
SA1182EX1XB02724-A108847B-R62-C52	A
SA1182EX1XB02724-A108847B-R62-C54	B
SA1182EX1XB02724-A108847B-R62-C59	B
SA1182EX1XB02724-A108847B-R62-C60	B
SA1182EX1XB02724-A108847B-R63-C11	B
SA1182EX1XB02724-A108847B-R63-C15	B
SA1182EX1XB02724-A108847B-R63-C17	B
SA1182EX1XB02724-A108847B-R63-C20	B
SA1182EX1XB02724-A108847B-R63-C23	B
SA1182EX1XB02724-A108847B-R63-C27	A
SA1182EX1XB02724-A108847B-R63-C28	B
SA1182EX1XB02724-A108847B-R63-C30	B
SA1182EX1XB02724-A108847B-R63-C31	A
SA1182EX1XB02724-A108847B-R63-C38	B
SA1182EX1XB02724-A108847B-R63-C42	B
SA1182EX1XB02724-A108847B-R63-C51	A
SA1182EX1XB02724-A108847B-R63-C54	B
SA1182EX1XB02724-A108847B-R63-C61	B
SA1182EX1XB02724-A108847B-R63-C63	B
SA1182EX1XB02724-A108847B-R63-C65	B
SA1182EX1XB02724-A108847B-R64-C19	B
SA1182EX1XB02724-A108847B-R64-C20	A
SA1182EX1XB02724-A108847B-R64-C22	B
SA1182EX1XB02724-A108847B-R64-C36	B
SA1182EX1XB02724-A108847B-R64-C38	B
SA1182EX1XB02724-A108847B-R64-C45	B
SA1182EX1XB02724-A108847B-R64-C55	A
SA1182EX1XB02724-A108847B-R64-C59	B
SA1182EX1XB02724-A108847B-R64-C62	B
SA1182EX1XB02724-A108847B-R64-C68	A
