umap1,umap2,cell_id,clone_id
-9.49775683128262,-6.00741888090496,SA1135-A96199A-R03-C10,C
6.85937250412082,-2.51029802366619,SA1135-A96199A-R03-C12,A
7.7013806179819,-2.1560738186491,SA1135-A96199A-R03-C19,A
6.12543571746921,-2.48335219427471,SA1135-A96199A-R03-C25,A
-8.01518522941495,-5.03502393766766,SA1135-A96199A-R03-C29,C
7.36002219474887,-1.26463819548016,SA1135-A96199A-R03-C30,A
6.46435905254459,-3.10711170240765,SA1135-A96199A-R03-C32,A
3.85504908121204,9.4738466639864,SA1135-A96199A-R03-C35,B
4.49001643813228,10.1739809413301,SA1135-A96199A-R03-C45,B
6.29951227462863,-2.76623369261151,SA1135-A96199A-R03-C46,A
4.06441939628696,9.70505165055866,SA1135-A96199A-R03-C47,B
3.69887150085544,9.71180557206745,SA1135-A96199A-R03-C53,B
6.64230967319583,-2.28748227163677,SA1135-A96199A-R03-C67,A
-8.65217863761807,-5.21403957411175,SA1135-A96199A-R03-C69,C
-7.45511900627042,-2.40436507269268,SA1135-A96199A-R04-C07,C
-9.90835653983975,-6.84448886915569,SA1135-A96199A-R04-C08,C
7.33354891098117,-1.36350680395489,SA1135-A96199A-R04-C11,A
-8.32636629783536,0.0891197820054999,SA1135-A96199A-R04-C15,C
-9.87184130393887,-6.76693893476849,SA1135-A96199A-R04-C18,C
6.15412629402255,-3.02932859465008,SA1135-A96199A-R04-C21,A
1.3798850849924,9.12450670198078,SA1135-A96199A-R04-C27,B
6.68354571617221,-2.73420406385784,SA1135-A96199A-R04-C39,A
-8.36129461967374,-4.92464996382122,SA1135-A96199A-R04-C43,C
6.29589308059787,-1.71280098959332,SA1135-A96199A-R04-C59,A
7.11005438125705,-1.71617818876629,SA1135-A96199A-R05-C08,A
6.21231067932224,-1.72678662344341,SA1135-A96199A-R05-C10,A
1.53290952003574,9.20333599046345,SA1135-A96199A-R05-C12,B
-8.9299076720419,-6.06267620130902,SA1135-A96199A-R05-C16,C
-9.61585795127774,-6.19448400541668,SA1135-A96199A-R05-C18,C
4.24910724914645,9.92822002366657,SA1135-A96199A-R05-C25,B
7.58524025238132,-1.8566582302702,SA1135-A96199A-R05-C36,A
8.11505616462802,-2.19273735090618,SA1135-A96199A-R05-C42,A
-9.36985289298917,-6.89864040418987,SA1135-A96199A-R05-C55,C
-9.80855642997647,-6.8013055424345,SA1135-A96199A-R05-C57,C
-9.36849581443692,-6.30617023512249,SA1135-A96199A-R05-C67,C
-8.37085329734708,-5.82227636381512,SA1135-A96199A-R06-C12,C
-7.69959341728116,-5.09892297788983,SA1135-A96199A-R06-C14,C
6.6879164055643,-1.88061452909832,SA1135-A96199A-R06-C17,A
2.97186685360049,9.5638592143404,SA1135-A96199A-R06-C20,B
-7.51115309440518,-2.46616793676739,SA1135-A96199A-R06-C21,C
1.78648865974521,8.98443197206135,SA1135-A96199A-R06-C29,B
-9.68292605125333,-6.22089792295818,SA1135-A96199A-R06-C32,C
4.71112120158052,10.1307518382418,SA1135-A96199A-R06-C34,B
2.87455547607517,9.27592205003376,SA1135-A96199A-R06-C38,B
8.1661468819437,-1.66696835562115,SA1135-A96199A-R06-C46,A
-8.66632734977628,-6.09476305052166,SA1135-A96199A-R06-C48,C
7.36268294609165,-1.90608478590374,SA1135-A96199A-R06-C49,A
-8.50859724723721,-0.106606135810662,SA1135-A96199A-R06-C51,C
-9.53050696098233,-6.55956483885174,SA1135-A96199A-R06-C56,C
-9.64843546592618,-5.98928333326702,SA1135-A96199A-R06-C59,C
3.0980978087244,9.65086387590046,SA1135-A96199A-R06-C60,B
