AT135-A118389B-R45-C19	A
AT135-A118389B-R45-C30	C
AT135-A118389B-R45-C32	A
AT135-A118389B-R45-C35	C
AT135-A118389B-R45-C36	A
AT135-A118389B-R45-C39	A
AT135-A118389B-R45-C44	A
AT135-A118389B-R45-C46	C
AT135-A118389B-R45-C47	C
AT135-A118389B-R45-C50	C
AT135-A118389B-R45-C56	A
AT135-A118389B-R45-C57	C
AT135-A118389B-R45-C58	C
AT135-A118389B-R45-C59	C
AT135-A118389B-R45-C66	C
AT135-A118389B-R45-C69	A
AT135-A118389B-R46-C08	A
AT135-A118389B-R46-C25	A
AT135-A118389B-R46-C31	B
AT135-A118389B-R46-C49	C
AT135-A118389B-R46-C55	A
AT135-A118389B-R46-C60	C
AT135-A118389B-R46-C65	B
AT135-A118389B-R46-C66	A
AT135-A118389B-R46-C67	A
AT135-A118389B-R46-C68	B
AT135-A118389B-R47-C14	A
AT135-A118389B-R47-C23	C
AT135-A118389B-R47-C25	C
AT135-A118389B-R47-C27	C
AT135-A118389B-R47-C28	A
AT135-A118389B-R47-C32	B
AT135-A118389B-R47-C33	B
AT135-A118389B-R47-C34	A
AT135-A118389B-R47-C40	A
AT135-A118389B-R47-C41	C
AT135-A118389B-R47-C45	A
AT135-A118389B-R47-C48	C
AT135-A118389B-R47-C55	A
AT135-A118389B-R47-C56	A
AT135-A118389B-R47-C62	C
AT135-A118389B-R47-C65	A
AT135-A118389B-R47-C67	C
AT135-A118389B-R47-C69	C
AT135-A118389B-R48-C07	A
AT135-A118389B-R48-C12	A
AT135-A118389B-R48-C22	A
AT135-A118389B-R48-C23	B
AT135-A118389B-R48-C25	A
AT135-A118389B-R48-C27	C
AT135-A118389B-R48-C31	B
AT135-A118389B-R48-C39	C
AT135-A118389B-R48-C41	C
AT135-A118389B-R48-C42	B
AT135-A118389B-R48-C44	A
AT135-A118389B-R48-C57	A
AT135-A118389B-R48-C58	A
AT135-A118389B-R48-C61	A
AT135-A118389B-R48-C65	C
AT135-A118389B-R48-C67	A
AT135-A118389B-R48-C69	C
AT135-A118389B-R49-C07	C
AT135-A118389B-R49-C10	C
AT135-A118389B-R49-C11	A
AT135-A118389B-R49-C15	A
AT135-A118389B-R49-C17	A
AT135-A118389B-R49-C19	A
AT135-A118389B-R49-C34	C
AT135-A118389B-R49-C35	A
AT135-A118389B-R49-C41	A
AT135-A118389B-R49-C45	A
AT135-A118389B-R49-C50	A
AT135-A118389B-R49-C54	C
AT135-A118389B-R49-C58	B
AT135-A118389B-R49-C60	A
AT135-A118389B-R49-C63	A
AT135-A118389B-R49-C64	C
AT135-A118389B-R49-C68	A
AT135-A118389B-R50-C07	C
AT135-A118389B-R50-C12	A
AT135-A118389B-R50-C17	B
AT135-A118389B-R50-C19	C
AT135-A118389B-R50-C20	B
AT135-A118389B-R50-C22	B
AT135-A118389B-R50-C28	A
AT135-A118389B-R50-C31	A
AT135-A118389B-R50-C35	A
AT135-A118389B-R50-C44	C
AT135-A118389B-R50-C45	A
AT135-A118389B-R50-C51	C
AT135-A118389B-R50-C57	B
AT135-A118389B-R50-C61	B
AT135-A118389B-R50-C69	A
AT135-A118389B-R51-C11	C
AT135-A118389B-R51-C14	B
AT135-A118389B-R51-C15	A
AT135-A118389B-R51-C20	C
AT135-A118389B-R51-C21	B
AT135-A118389B-R51-C22	C
AT135-A118389B-R51-C31	A
AT135-A118389B-R51-C38	A
AT135-A118389B-R51-C44	B
AT135-A118389B-R51-C48	A
AT135-A118389B-R51-C53	C
AT135-A118389B-R51-C57	A
AT135-A118389B-R52-C11	C
AT135-A118389B-R52-C12	C
AT135-A118389B-R52-C15	A
AT135-A118389B-R52-C16	C
AT135-A118389B-R52-C17	A
AT135-A118389B-R52-C19	A
AT135-A118389B-R52-C22	A
AT135-A118389B-R52-C24	A
AT135-A118389B-R52-C31	C
AT135-A118389B-R52-C35	C
AT135-A118389B-R52-C36	A
AT135-A118389B-R52-C41	A
AT135-A118389B-R52-C42	C
AT135-A118389B-R52-C44	A
AT135-A118389B-R52-C47	A
AT135-A118389B-R52-C49	C
AT135-A118389B-R52-C53	B
AT135-A118389B-R52-C64	C
AT135-A118389B-R52-C66	A
AT135-A118389B-R53-C08	A
AT135-A118389B-R53-C10	B
AT135-A118389B-R53-C13	A
AT135-A118389B-R53-C14	A
AT135-A118389B-R53-C17	A
AT135-A118389B-R53-C20	A
AT135-A118389B-R53-C21	B
AT135-A118389B-R53-C22	A
AT135-A118389B-R53-C23	C
AT135-A118389B-R53-C31	A
AT135-A118389B-R53-C32	C
AT135-A118389B-R53-C34	A
AT135-A118389B-R53-C38	A
AT135-A118389B-R53-C41	C
AT135-A118389B-R53-C49	A
AT135-A118389B-R53-C57	A
AT135-A118389B-R53-C61	A
AT135-A118389B-R53-C63	C
AT135-A118389B-R53-C64	B
AT135-A118389B-R54-C08	C
AT135-A118389B-R54-C16	C
AT135-A118389B-R54-C18	A
AT135-A118389B-R54-C21	A
AT135-A118389B-R54-C22	C
AT135-A118389B-R54-C23	A
AT135-A118389B-R54-C24	A
AT135-A118389B-R54-C25	C
AT135-A118389B-R54-C37	B
AT135-A118389B-R54-C40	A
AT135-A118389B-R54-C45	A
AT135-A118389B-R54-C47	B
AT135-A118389B-R54-C49	C
AT135-A118389B-R54-C59	C
AT135-A118389B-R54-C60	A
AT135-A118389B-R54-C61	B
AT135-A118389B-R54-C62	C
AT135-A118389B-R54-C63	C
AT135-A118389B-R54-C65	B
AT135-A118389B-R54-C70	C
AT135-A118389B-R55-C09	C
AT135-A118389B-R55-C18	C
AT135-A118389B-R55-C20	B
AT135-A118389B-R55-C24	A
AT135-A118389B-R55-C29	A
AT135-A118389B-R55-C41	C
AT135-A118389B-R55-C42	C
AT135-A118389B-R55-C51	C
AT135-A118389B-R55-C52	B
AT135-A118389B-R55-C56	C
AT135-A118389B-R55-C59	A
AT135-A118389B-R55-C60	C
AT135-A118389B-R55-C64	C
AT135-A118389B-R55-C69	A
AT135-A118389B-R55-C70	C
AT135-A118389B-R56-C11	A
AT135-A118389B-R56-C12	A
AT135-A118389B-R56-C17	A
AT135-A118389B-R56-C19	C
AT135-A118389B-R56-C24	C
AT135-A118389B-R56-C26	A
AT135-A118389B-R56-C31	C
AT135-A118389B-R56-C33	C
AT135-A118389B-R56-C35	A
AT135-A118389B-R56-C37	A
AT135-A118389B-R56-C41	B
AT135-A118389B-R56-C45	C
AT135-A118389B-R56-C67	A
AT135-A118389B-R56-C68	C
AT135-A118389B-R56-C70	A
AT135-A118389B-R57-C07	C
AT135-A118389B-R57-C08	C
AT135-A118389B-R57-C09	B
