cell_id	clone_id
SA906-A96175C-R48-C11	E
SA906-A96175C-R48-C13	F
SA906-A96175C-R48-C17	J
SA906-A96175C-R48-C18	I
SA906-A96175C-R48-C20	H
SA906-A96175C-R48-C21	C
SA906-A96175C-R48-C22	F
SA906-A96175C-R48-C24	B
SA906-A96175C-R48-C25	C
SA906-A96175C-R48-C28	D
SA906-A96175C-R48-C29	G
SA906-A96175C-R48-C34	F
SA906-A96175C-R48-C35	J
SA906-A96175C-R48-C36	J
SA906-A96175C-R48-C37	J
SA906-A96175C-R48-C38	J
SA906-A96175C-R48-C43	H
SA906-A96175C-R48-C50	D
SA906-A96175C-R48-C52	B
SA906-A96175C-R48-C56	F
SA906-A96175C-R48-C59	B
SA906-A96175C-R48-C60	J
SA906-A96175C-R48-C61	H
SA906-A96175C-R48-C62	F
SA906-A96175C-R48-C66	D
SA906-A96175C-R48-C67	C
SA906-A96175C-R49-C09	H
SA906-A96175C-R49-C13	I
SA906-A96175C-R49-C14	F
SA906-A96175C-R49-C16	B
SA906-A96175C-R49-C19	B
SA906-A96175C-R49-C20	F
SA906-A96175C-R49-C21	I
SA906-A96175C-R49-C23	F
SA906-A96175C-R49-C24	B
SA906-A96175C-R49-C26	J
SA906-A96175C-R49-C28	J
SA906-A96175C-R49-C29	B
SA906-A96175C-R49-C30	H
SA906-A96175C-R49-C31	H
SA906-A96175C-R49-C34	D
SA906-A96175C-R49-C38	C
SA906-A96175C-R49-C41	G
SA906-A96175C-R49-C43	C
SA906-A96175C-R49-C44	J
SA906-A96175C-R49-C49	D
SA906-A96175C-R49-C50	C
SA906-A96175C-R49-C51	C
SA906-A96175C-R49-C52	C
SA906-A96175C-R49-C53	H
SA906-A96175C-R49-C54	F
SA906-A96175C-R49-C57	H
SA906-A96175C-R49-C58	C
SA906-A96175C-R49-C61	B
SA906-A96175C-R49-C62	J
SA906-A96175C-R49-C63	F
SA906-A96175C-R49-C64	F
SA906-A96175C-R49-C67	J
SA906-A96175C-R49-C69	G
SA906-A96175C-R49-C70	H
SA906-A96175C-R50-C07	C
SA906-A96175C-R50-C08	J
SA906-A96175C-R50-C09	F
SA906-A96175C-R50-C10	F
SA906-A96175C-R50-C11	A
SA906-A96175C-R50-C13	B
SA906-A96175C-R50-C16	G
SA906-A96175C-R50-C17	G
SA906-A96175C-R50-C19	J
SA906-A96175C-R50-C20	H
SA906-A96175C-R50-C23	J
SA906-A96175C-R50-C25	I
SA906-A96175C-R50-C26	H
SA906-A96175C-R50-C27	C
SA906-A96175C-R50-C29	J
SA906-A96175C-R50-C31	J
SA906-A96175C-R50-C33	G
SA906-A96175C-R50-C34	C
SA906-A96175C-R50-C35	A
SA906-A96175C-R50-C38	D
SA906-A96175C-R50-C40	F
SA906-A96175C-R50-C41	E
SA906-A96175C-R50-C44	D
SA906-A96175C-R50-C45	F
SA906-A96175C-R50-C47	B
SA906-A96175C-R50-C49	J
SA906-A96175C-R50-C50	F
SA906-A96175C-R50-C51	J
SA906-A96175C-R50-C52	C
SA906-A96175C-R50-C53	D
SA906-A96175C-R50-C56	G
SA906-A96175C-R50-C57	J
SA906-A96175C-R50-C58	D
SA906-A96175C-R50-C60	J
SA906-A96175C-R50-C69	B
SA906-A96175C-R50-C70	B
SA906-A96175C-R51-C08	F
SA906-A96175C-R51-C14	F
SA906-A96175C-R51-C16	G
SA906-A96175C-R51-C17	F
SA906-A96175C-R51-C20	J
SA906-A96175C-R51-C24	J
SA906-A96175C-R51-C27	B
SA906-A96175C-R51-C28	G
SA906-A96175C-R51-C31	B
SA906-A96175C-R51-C32	H
SA906-A96175C-R51-C36	C
SA906-A96175C-R51-C37	J
SA906-A96175C-R51-C38	F
SA906-A96175C-R51-C39	B
SA906-A96175C-R51-C43	J
SA906-A96175C-R51-C45	C
SA906-A96175C-R51-C51	B
SA906-A96175C-R51-C52	J
SA906-A96175C-R51-C59	B
SA906-A96175C-R51-C61	F
SA906-A96175C-R51-C63	A
SA906-A96175C-R51-C66	F
SA906-A96175C-R51-C70	D
SA906-A96175C-R52-C07	F
SA906-A96175C-R52-C09	B
SA906-A96175C-R52-C13	A
SA906-A96175C-R52-C14	F
SA906-A96175C-R52-C15	F
SA906-A96175C-R52-C17	B
SA906-A96175C-R52-C26	J
SA906-A96175C-R52-C28	G
SA906-A96175C-R52-C29	C
SA906-A96175C-R52-C33	J
SA906-A96175C-R52-C34	I
SA906-A96175C-R52-C35	J
SA906-A96175C-R52-C39	C
SA906-A96175C-R52-C40	J
SA906-A96175C-R52-C41	F
SA906-A96175C-R52-C42	F
SA906-A96175C-R52-C45	C
SA906-A96175C-R52-C48	D
SA906-A96175C-R52-C51	C
SA906-A96175C-R52-C54	C
SA906-A96175C-R52-C58	D
SA906-A96175C-R52-C59	D
SA906-A96175C-R52-C60	B
SA906-A96175C-R52-C64	F
SA906-A96175C-R52-C70	J
SA906-A96175C-R53-C07	D
SA906-A96175C-R53-C08	G
SA906-A96175C-R53-C10	F
SA906-A96175C-R53-C11	F
SA906-A96175C-R53-C12	B
SA906-A96175C-R53-C15	B
SA906-A96175C-R53-C16	G
SA906-A96175C-R53-C18	F
SA906-A96175C-R53-C20	J
SA906-A96175C-R53-C21	C
SA906-A96175C-R53-C23	D
SA906-A96175C-R53-C25	D
SA906-A96175C-R53-C31	J
SA906-A96175C-R53-C33	C
SA906-A96175C-R53-C34	J
SA906-A96175C-R53-C35	J
SA906-A96175C-R53-C37	I
SA906-A96175C-R53-C39	E
SA906-A96175C-R53-C47	E
SA906-A96175C-R53-C54	H
SA906-A96175C-R53-C55	E
SA906-A96175C-R53-C58	J
SA906-A96175C-R53-C59	D
SA906-A96175C-R53-C61	J
SA906-A96175C-R53-C63	F
SA906-A96175C-R53-C64	J
SA906-A96175C-R54-C08	J
SA906-A96175C-R54-C09	G
SA906-A96175C-R54-C10	F
SA906-A96175C-R54-C11	D
SA906-A96175C-R54-C12	D
SA906-A96175C-R54-C13	C
SA906-A96175C-R54-C14	B
SA906-A96175C-R54-C17	J
SA906-A96175C-R54-C19	G
SA906-A96175C-R54-C22	F
SA906-A96175C-R54-C23	J
SA906-A96175C-R54-C25	G
